Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
wispr-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Wispr SDK/CLI authentication,"wispr install auth, install and configure wispr sdk/cli authentication",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr install auth in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Wispr example,"wispr hello world, create a minimal working wispr example",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr hello world in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Wispr local development workflow,"wispr local dev loop, configure wispr local development workflow",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Wispr SDK patterns,"wispr sdk patterns, apply production-ready wispr sdk patterns",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Wispr primary workflow,"wispr primary workflow, execute wispr primary workflow",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Wispr core feature integration,"wispr core feature, implement wispr core feature integration",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr core feature in under 15 minutes,true,onboarding,plugins/saas-packs/wispr-pack/skills/wispr-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Wispr common errors,"wispr common errors, diagnose and fix wispr common errors",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr common errors in under 15 minutes,true,operations,plugins/saas-packs/wispr-pack/skills/wispr-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Wispr debug evidence for support,"wispr debug bundle, collect wispr debug evidence for support",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr debug bundle in under 15 minutes,true,operations,plugins/saas-packs/wispr-pack/skills/wispr-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Wispr rate limiting and backoff,"wispr rate limits, implement wispr rate limiting and backoff",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr rate limits in under 15 minutes,true,operations,plugins/saas-packs/wispr-pack/skills/wispr-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
wispr-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Wispr security best practices,"wispr security basics, apply wispr security best practices",Claude Code skill; Wispr SDK; local/cloud development,Working Wispr integration; Tests passing; Documentation updated,Faster Wispr integration; Reduced errors; Team productivity,Complete Wispr security basics in under 15 minutes,true,operations,plugins/saas-packs/wispr-pack/skills/wispr-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
