id,anomaly_type,path,count,evidence,notes
1,zero_skills_pack,plugins/ai-agency,6,Pack has 6 plugins but 0 SKILL.md files,
2,zero_skills_pack,plugins/finance,1,Pack has 1 plugins but 0 SKILL.md files,
3,plugin_no_skills_dir,plugins/community/claude-reflect,1,Plugin lacks skills/ directory,
4,plugin_no_skills_dir,plugins/community/geepers-agents,1,Plugin lacks skills/ directory,
5,plugin_no_skills_dir,plugins/mcp/conversational-api-debugger,1,Plugin lacks skills/ directory,
6,plugin_no_skills_dir,plugins/mcp/lumera-agent-memory,1,Plugin lacks skills/ directory,
7,plugin_no_skills_dir,plugins/mcp/pr-to-spec,1,Plugin lacks skills/ directory,
8,plugin_no_skills_dir,plugins/productivity/prettier-markdown-hook,1,Plugin lacks skills/ directory,
9,plugin_no_skills_dir,plugins/productivity/vibe-guide,1,Plugin lacks skills/ directory,
10,plugins_no_commands,multiple,126,126 plugins lack commands/ directory,
11,large_duplicate_group,plugins/saas-packs/openrouter-pack/skills/openrouter-audit-logging/references/errors.md,30,30 files share SHA-256 537db01181cb8369...,"[""plugins/saas-packs/openrouter-pack/skills/openrouter-audit-logging/references/errors.md"", ""plugins/saas-packs/openrouter-pack/skills/openrouter-caching-strategy/references/errors.md"", ""plugins/saas-packs/openrouter-pack/skills/openrouter-common-errors/references/errors.md"", ""plugins/saas-packs/openrouter-pack/skills/openrouter-compliance-review/references/errors.md"", ""plugins/saas-packs/openrouter-pack/skills/openrouter-context-optimization/references/errors.md""]"
12,large_duplicate_group,plugins/saas-packs/klingai-pack/skills/klingai-async-workflows/references/examples.md,27,27 files share SHA-256 eefa73b164a67fbc...,"[""plugins/saas-packs/klingai-pack/skills/klingai-async-workflows/references/examples.md"", ""plugins/saas-packs/klingai-pack/skills/klingai-audit-logging/references/examples.md"", ""plugins/saas-packs/klingai-pack/skills/klingai-batch-processing/references/examples.md"", ""plugins/saas-packs/klingai-pack/skills/klingai-camera-control/references/examples.md"", ""plugins/saas-packs/klingai-pack/skills/klingai-ci-integration/references/examples.md""]"
13,large_duplicate_group,plugins/api-development/api-authentication-builder/skills/building-api-authentication/references/errors.md,25,25 files share SHA-256 e0d2c557fcddd84a...,"[""plugins/api-development/api-authentication-builder/skills/building-api-authentication/references/errors.md"", ""plugins/api-development/api-batch-processor/skills/processing-api-batches/references/errors.md"", ""plugins/api-development/api-cache-manager/skills/managing-api-cache/references/errors.md"", ""plugins/api-development/api-contract-generator/skills/generating-api-contracts/references/errors.md"", ""plugins/api-development/api-documentation-generator/skills/generating-api-docs/references/errors.md""]"
14,large_duplicate_group,plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/assets/README.md,17,17 files share SHA-256 33bfb083485b48c7...,"[""plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/assets/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-lbo-modeler/assets/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-pivot-wizard/assets/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-variance-analyzer/assets/README.md"", ""plugins/database/database-connection-pooler/skills/optimizing-database-connection-pooling/assets/README.md""]"
15,large_duplicate_group,plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/scripts/README.md,17,17 files share SHA-256 f042646ad5b68555...,"[""plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/scripts/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-lbo-modeler/scripts/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-pivot-wizard/scripts/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-variance-analyzer/scripts/README.md"", ""plugins/database/database-connection-pooler/skills/optimizing-database-connection-pooling/scripts/README.md""]"
16,large_duplicate_group,plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/references/README.md,16,16 files share SHA-256 db9680278e03728f...,"[""plugins/business-tools/excel-analyst-pro/skills/excel-dcf-modeler/references/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-lbo-modeler/references/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-pivot-wizard/references/README.md"", ""plugins/business-tools/excel-analyst-pro/skills/excel-variance-analyzer/references/README.md"", ""plugins/database/database-connection-pooler/skills/optimizing-database-connection-pooling/references/README.md""]"
17,pyc_files_in_skills,multiple,19,19 skill directories contain .pyc compiled Python files,
18,tmp_files_in_skills,multiple,3,3 .tmp files found in skill directories,
