Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
workhuman-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Workhuman SDK/CLI authentication,"workhuman install auth, install and configure workhuman sdk/cli authentication",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman install auth in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Workhuman example,"workhuman hello world, create a minimal working workhuman example",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman hello world in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Workhuman local development workflow,"workhuman local dev loop, configure workhuman local development workflow",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Workhuman SDK patterns,"workhuman sdk patterns, apply production-ready workhuman sdk patterns",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Workhuman primary workflow,"workhuman primary workflow, execute workhuman primary workflow",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Workhuman core feature integration,"workhuman core feature, implement workhuman core feature integration",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman core feature in under 15 minutes,true,onboarding,plugins/saas-packs/workhuman-pack/skills/workhuman-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Workhuman common errors,"workhuman common errors, diagnose and fix workhuman common errors",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman common errors in under 15 minutes,true,operations,plugins/saas-packs/workhuman-pack/skills/workhuman-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Workhuman debug evidence for support,"workhuman debug bundle, collect workhuman debug evidence for support",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman debug bundle in under 15 minutes,true,operations,plugins/saas-packs/workhuman-pack/skills/workhuman-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Workhuman rate limiting and backoff,"workhuman rate limits, implement workhuman rate limiting and backoff",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman rate limits in under 15 minutes,true,operations,plugins/saas-packs/workhuman-pack/skills/workhuman-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
workhuman-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Workhuman security best practices,"workhuman security basics, apply workhuman security best practices",Claude Code skill; Workhuman SDK; local/cloud development,Working Workhuman integration; Tests passing; Documentation updated,Faster Workhuman integration; Reduced errors; Team productivity,Complete Workhuman security basics in under 15 minutes,true,operations,plugins/saas-packs/workhuman-pack/skills/workhuman-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
