id,source_path,target_path_or_entity,linkage_type,direct_or_inferred,confidence,evidence
1,.github/workflows/automerge.yml,fastify/github-action-merge-dependabot@v3,workflow_uses_action,direct,high,uses: directive
2,.github/workflows/cli-publish.yml,actions/create-release@v1,workflow_uses_action,direct,high,uses: directive
3,.github/workflows/cli-publish.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
4,.github/workflows/cli-publish.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
5,.github/workflows/cli-test.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
6,.github/workflows/cli-test.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
7,.github/workflows/cli-test.yml,oven-sh/setup-bun@v2,workflow_uses_action,direct,high,uses: directive
8,.github/workflows/cli-test.yml,actions/upload-artifact@v6,workflow_uses_action,direct,high,uses: directive
9,.github/workflows/cli-test.yml,denoland/setup-deno@v2,workflow_uses_action,direct,high,uses: directive
10,.github/workflows/codeql.yml,github/codeql-action/autobuild@v4,workflow_uses_action,direct,high,uses: directive
11,.github/workflows/codeql.yml,github/codeql-action/init@v4,workflow_uses_action,direct,high,uses: directive
12,.github/workflows/codeql.yml,github/codeql-action/analyze@v4,workflow_uses_action,direct,high,uses: directive
13,.github/workflows/codeql.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
14,.github/workflows/daily-skill-generator.yml,scripts/sync-marketplace.cjs,workflow_calls_script,direct,high,script reference in workflow file
15,.github/workflows/daily-skill-generator.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
16,.github/workflows/daily-skill-generator.yml,actions/github-script@v8,workflow_uses_action,direct,high,uses: directive
17,.github/workflows/deploy-firebase.yml,actions/setup-node@v4,workflow_uses_action,direct,high,uses: directive
18,.github/workflows/deploy-firebase.yml,actions/checkout@v4,workflow_uses_action,direct,high,uses: directive
19,.github/workflows/deploy-firebase.yml,google-github-actions/setup-gcloud@v2,workflow_uses_action,direct,high,uses: directive
20,.github/workflows/deploy-firebase.yml,google-github-actions/auth@v2,workflow_uses_action,direct,high,uses: directive
21,.github/workflows/deploy-marketplace.yml,scripts/validate-routes.mjs,workflow_calls_script,direct,high,script reference in workflow file
22,.github/workflows/deploy-marketplace.yml,scripts/validate-playbook-routes.mjs,workflow_calls_script,direct,high,script reference in workflow file
23,.github/workflows/deploy-marketplace.yml,scripts/validate-internal-links.mjs,workflow_calls_script,direct,high,script reference in workflow file
24,.github/workflows/deploy-marketplace.yml,scripts/validate-links.mjs,workflow_calls_script,direct,high,script reference in workflow file
25,.github/workflows/deploy-marketplace.yml,actions/deploy-pages@v4,workflow_uses_action,direct,high,uses: directive
26,.github/workflows/deploy-marketplace.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
27,.github/workflows/deploy-marketplace.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
28,.github/workflows/deploy-marketplace.yml,actions/upload-pages-artifact@v4,workflow_uses_action,direct,high,uses: directive
29,.github/workflows/gemini-code-review.yml,'google-github-actions/run-gemini-cli@v0',workflow_uses_action,direct,high,uses: directive
30,.github/workflows/gemini-code-review.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
31,.github/workflows/maintainer-ready-automerge.yml,peter-evans/enable-pull-request-automerge@v3,workflow_uses_action,direct,high,uses: directive
32,.github/workflows/publish-mcp-registry.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
33,.github/workflows/release.yml,scripts/test-installation.sh,workflow_calls_script,direct,high,script reference in workflow file
34,.github/workflows/release.yml,scripts/validate-all.sh,workflow_calls_script,direct,high,script reference in workflow file
35,.github/workflows/release.yml,actions/setup-python@v6,workflow_uses_action,direct,high,uses: directive
36,.github/workflows/release.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
37,.github/workflows/release.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
38,.github/workflows/security-audit.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
39,.github/workflows/security-audit.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
40,.github/workflows/sync-external.yml,scripts/sync-external.mjs,workflow_calls_script,direct,high,script reference in workflow file
41,.github/workflows/sync-external.yml,scripts/sync-marketplace.cjs,workflow_calls_script,direct,high,script reference in workflow file
42,.github/workflows/sync-external.yml,peter-evans/create-pull-request@v8,workflow_uses_action,direct,high,uses: directive
43,.github/workflows/sync-external.yml,pnpm/action-setup@v4,workflow_uses_action,direct,high,uses: directive
44,.github/workflows/sync-external.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
45,.github/workflows/sync-external.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
46,.github/workflows/update-metrics.yml,scripts/update-metrics.mjs,workflow_calls_script,direct,high,script reference in workflow file
47,.github/workflows/update-metrics.yml,actions/setup-node@v6,workflow_uses_action,direct,high,uses: directive
48,.github/workflows/update-metrics.yml,actions/checkout@v6,workflow_uses_action,direct,high,uses: directive
49,.github/workflows/validate-plugins.yml,scripts/run-verification-pipeline.mjs,workflow_calls_script,direct,high,script reference in workflow file
50,.github/workflows/validate-plugins.yml,scripts/validate-playbook-routes.mjs,workflow_calls_script,direct,high,script reference in workflow file
51,.github/workflows/validate-plugins.yml,scripts/check-package-manager.mjs,workflow_calls_script,direct,high,script reference in workflow file
52,.github/workflows/validate-plugins.yml,scripts/validate-cowork-downloads.mjs,workflow_calls_script,direct,high,script reference in workflow file
53,.github/workflows/validate-plugins.yml,scripts/check-official-links.mjs,workflow_calls_script,direct,high,script reference in workflow file
54,.github/workflows/validate-plugins.yml,scripts/check-performance.mjs,workflow_calls_script,direct,high,script reference in workflow file
55,.github/workflows/validate-plugins.yml,scripts/validate-cowork-security.mjs,workflow_calls_script,direct,high,script reference in workflow file
56,.github/workflows/validate-plugins.yml,scripts/check-routes.mjs,workflow_calls_script,direct,high,script reference in workflow file
