id,pack_name,files_present,category_indicators
1,ai-agency,"[""LAUNCH_SUMMARY.md"", ""README.md"", ""TEST_RESULTS.md"", ""overnight-dev-plugin.md""]",[]
2,ai-ml,"[""README.md""]",[]
3,api-development,"[""README.md""]",[]
4,automation,[],[]
5,business-tools,[],[]
6,community,"["".gitkeep""]",[]
7,crypto,"[""PLUGINS_SUMMARY.md"", ""QUICK_REFERENCE.md""]",[]
8,database,"[""CREATION_REPORT.md"", ""PLUGIN_PACK_SUMMARY.md"", ""README.md""]",[]
9,design,[],[]
10,devops,"[""CREATION_REPORT.md"", ""PLUGIN_PACK_SUMMARY.md"", ""README.md""]",[]
11,examples,[],[]
12,finance,[],[]
13,jeremy-google-adk,"[""README.md"", ""plugin.json""]",[]
14,jeremy-vertex-ai,"[""README.md"", ""plugin.json""]",[]
15,mcp,[],[]
16,packages,[],[]
17,performance,"[""README.md""]",[]
18,productivity,[],[]
19,saas-packs,"[""SAAS-PACKS-CONTEXT.md"", ""TRACKER.csv""]",[]
20,security,"[""QUICK_START.md"", ""README.md"", ""SECURITY_PACK_SUMMARY.md"", ""VALIDATION_REPORT.md""]",[]
21,skill-enhancers,"[""SEO_META_TAGS.md""]",[]
22,testing,"[""QUICK_REFERENCE.md"", ""README.md"", ""TESTING_SUITE_SUMMARY.md""]",[]
