Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
clay-install-auth,"Sales ops engineers, Growth engineers, Full-stack developers","Install and configure Clay API authentication including API key setup and environment configuration","install clay, setup clay, clay auth, configure clay API key","Claude Code skill; Clay API; local/cloud development","Installed SDK package; Environment variable or .env file with API key; Successful connection verification","Faster onboarding; Standardized Clay configuration across team; Reduced setup errors","Complete Clay API installation and authentication in under 10 minutes",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-hello-world,"New developers, Sales ops engineers, Growth engineers","Create a minimal working Clay example demonstrating basic person enrichment","clay hello world, clay example, clay quick start, simple clay enrichment","Claude Code skill; Clay API; local/cloud development","Working code file with Clay API client initialization; Successful enrichment response confirming connection","Quick validation of Clay setup; Learning foundation for new team members","Create working Clay enrichment example in under 5 minutes",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-hello-world/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-local-dev-loop,"Sales ops engineers, Growth engineers, Full-stack developers","Configure Clay local development with testing workflows and mock data","clay dev setup, clay local development, clay dev environment, develop with clay","Claude Code skill; Clay API; local/cloud development","Working development environment with test data; Configured test suite with mocking; Environment variable management","Faster development iteration; Standardized dev workflow across team; Reduced debugging time","Establish fast local development cycle with Clay",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pnpm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-enrichment-patterns,"Sales ops engineers, Growth engineers, Data engineers","Apply production-ready Clay enrichment patterns for person and company data including batching and error handling","clay enrichment patterns, clay best practices, clay code patterns, idiomatic clay","Claude Code skill; Clay API; local/cloud development","Type-safe API client; Robust error handling with structured logging; Batch processing with rate limiting","Code quality improvement; Reduced production errors; Team coding standards","Implement production-ready enrichment patterns",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-enrichment-patterns/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-table-from-requirements,"Sales ops engineers, Growth engineers, Revenue ops managers","Execute Clay primary workflow: create enrichment table from natural language requirements","clay table from requirements, generate clay table, create prospecting list with clay","Claude Code skill; Clay API; local/cloud development","Completed table creation; Expected columns configured; Enrichment formulas added","Faster prospect list creation; Accurate data from business requirements; Reduced manual work","Generate production-ready Clay table from requirements",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-table-from-requirements/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-crm-sync-core,"Sales ops engineers, Revenue ops managers, Integration engineers","Implement the core Clay workflow: CRM sync with bidirectional data flow and enrichment triggers","clay crm sync, implement salesforce clay, hubspot clay sync, crm integration clay","Claude Code skill; Clay API; local/cloud development","Completed CRM sync configuration; Bidirectional data flow active; Enrichment triggers working","Full CRM integration; Automated data enrichment; Real-time prospect updates","Implement complete CRM sync with enrichment automation",true,onboarding,plugins/saas-packs/clay-pack/skills/clay-crm-sync-core/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-common-errors,"Sales ops engineers, Growth engineers, Support engineers","Diagnose and fix Clay common errors including API limits, enrichment failures, and integration issues","clay error, fix clay, clay not working, debug clay, clay enrichment failed","Claude Code skill; Clay API; local/cloud development","Identified error cause; Applied fix; Verified resolution","Faster incident resolution; Reduced downtime; Self-service troubleshooting","Resolve common Clay errors in under 15 minutes",true,operations,plugins/saas-packs/clay-pack/skills/clay-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-debug-bundle,"Sales ops engineers, Growth engineers, Support engineers","Collect Clay debug evidence for support tickets and troubleshooting","clay debug, clay support bundle, collect clay logs, clay diagnostic","Claude Code skill; Clay API; local/cloud development","Debug bundle with summary, API logs, and redacted config; Network test results","Faster support ticket resolution; Complete evidence for root cause analysis","Create comprehensive debug bundle for support escalation",true,operations,plugins/saas-packs/clay-pack/skills/clay-debug-bundle/,"Read, Bash(grep:*), Bash(curl:*), Bash(tar:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-rate-limits,"Sales ops engineers, Growth engineers, Data engineers","Implement Clay rate limiting, backoff, and credit management patterns","clay rate limit, clay throttling, clay 429, clay retry, clay credits, clay backoff","Claude Code skill; Clay API; local/cloud development","Reliable API calls with automatic retry; Credit budget tracking; Rate limit headers properly handled","Improved application reliability; Reduced failed requests; Credit optimization","Implement robust rate limit handling with exponential backoff",true,operations,plugins/saas-packs/clay-pack/skills/clay-rate-limits/,"Read, Write, Edit",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clay-security-basics,"Security engineers, Sales ops engineers, Compliance engineers","Apply Clay security best practices for API keys and data access control","clay security, clay secrets, secure clay, clay API key security, clay data privacy","Claude Code skill; Clay API; local/cloud development","Secure API key storage; Environment-specific access controls; Audit logging enabled","Reduced security vulnerabilities; Compliance with security policies; Protected prospect data","Implement security best practices for Clay integration",true,operations,plugins/saas-packs/clay-pack/skills/clay-security-basics/,"Read, Write, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
