Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
assemblyai-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure AssemblyAI SDK/CLI authentication,"assemblyai install auth, install and configure assemblyai sdk/cli authentication",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI install auth in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working AssemblyAI example,"assemblyai hello world, create a minimal working assemblyai example",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI hello world in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure AssemblyAI local development workflow,"assemblyai local dev loop, configure assemblyai local development workflow",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready AssemblyAI SDK patterns,"assemblyai sdk patterns, apply production-ready assemblyai sdk patterns",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute AssemblyAI primary workflow,"assemblyai primary workflow, execute assemblyai primary workflow",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement AssemblyAI core feature integration,"assemblyai core feature, implement assemblyai core feature integration",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI core feature in under 15 minutes,true,onboarding,plugins/saas-packs/assemblyai-pack/skills/assemblyai-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix AssemblyAI common errors,"assemblyai common errors, diagnose and fix assemblyai common errors",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI common errors in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect AssemblyAI debug evidence for support,"assemblyai debug bundle, collect assemblyai debug evidence for support",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI debug bundle in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement AssemblyAI rate limiting and backoff,"assemblyai rate limits, implement assemblyai rate limiting and backoff",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI rate limits in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply AssemblyAI security best practices,"assemblyai security basics, apply assemblyai security best practices",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI security basics in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute AssemblyAI production deployment checklist,"assemblyai prod checklist, execute assemblyai production deployment checklist",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI prod checklist in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
assemblyai-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute AssemblyAI SDK upgrades,"assemblyai upgrade migration, plan and execute assemblyai sdk upgrades",Claude Code skill; AssemblyAI SDK; local/cloud development,Working AssemblyAI integration; Tests passing; Documentation updated,Faster AssemblyAI integration; Reduced errors; Team productivity,Complete AssemblyAI upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/assemblyai-pack/skills/assemblyai-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
