Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
maintainx-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure MaintainX SDK/CLI authentication,"maintainx install auth, install and configure maintainx sdk/cli authentication",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX install auth in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working MaintainX example,"maintainx hello world, create a minimal working maintainx example",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX hello world in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure MaintainX local development workflow,"maintainx local dev loop, configure maintainx local development workflow",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready MaintainX SDK patterns,"maintainx sdk patterns, apply production-ready maintainx sdk patterns",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute MaintainX primary workflow,"maintainx primary workflow, execute maintainx primary workflow",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement MaintainX core feature integration,"maintainx core feature, implement maintainx core feature integration",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX core feature in under 15 minutes,true,onboarding,plugins/saas-packs/maintainx-pack/skills/maintainx-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix MaintainX common errors,"maintainx common errors, diagnose and fix maintainx common errors",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX common errors in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect MaintainX debug evidence for support,"maintainx debug bundle, collect maintainx debug evidence for support",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX debug bundle in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement MaintainX rate limiting and backoff,"maintainx rate limits, implement maintainx rate limiting and backoff",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX rate limits in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply MaintainX security best practices,"maintainx security basics, apply maintainx security best practices",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX security basics in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute MaintainX production deployment checklist,"maintainx prod checklist, execute maintainx production deployment checklist",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX prod checklist in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute MaintainX SDK upgrades,"maintainx upgrade migration, plan and execute maintainx sdk upgrades",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/maintainx-pack/skills/maintainx-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure MaintainX CI/CD integration,"maintainx ci integration, configure maintainx ci/cd integration",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX ci integration in under 15 minutes,true,cicd,plugins/saas-packs/maintainx-pack/skills/maintainx-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy MaintainX integrations to production,"maintainx deploy pipeline, deploy maintainx integrations to production",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/maintainx-pack/skills/maintainx-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement MaintainX webhook handling,"maintainx webhooks events, implement maintainx webhook handling",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/maintainx-pack/skills/maintainx-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize MaintainX API performance,"maintainx performance tuning, optimize maintainx api performance",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/maintainx-pack/skills/maintainx-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
maintainx-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize MaintainX costs and usage,"maintainx cost tuning, optimize maintainx costs and usage",Claude Code skill; MaintainX SDK; local/cloud development,Working MaintainX integration; Tests passing; Documentation updated,Faster MaintainX integration; Reduced errors; Team productivity,Complete MaintainX cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/maintainx-pack/skills/maintainx-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
