Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
snowflake-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Snowflake SDK/CLI authentication,"snowflake install auth, install and configure snowflake sdk/cli authentication",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake install auth in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Snowflake example,"snowflake hello world, create a minimal working snowflake example",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake hello world in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Snowflake local development workflow,"snowflake local dev loop, configure snowflake local development workflow",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Snowflake SDK patterns,"snowflake sdk patterns, apply production-ready snowflake sdk patterns",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Snowflake primary workflow,"snowflake primary workflow, execute snowflake primary workflow",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Snowflake core feature integration,"snowflake core feature, implement snowflake core feature integration",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake core feature in under 15 minutes,true,onboarding,plugins/saas-packs/snowflake-pack/skills/snowflake-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Snowflake common errors,"snowflake common errors, diagnose and fix snowflake common errors",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake common errors in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Snowflake debug evidence for support,"snowflake debug bundle, collect snowflake debug evidence for support",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake debug bundle in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Snowflake rate limiting and backoff,"snowflake rate limits, implement snowflake rate limiting and backoff",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake rate limits in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Snowflake security best practices,"snowflake security basics, apply snowflake security best practices",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake security basics in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Snowflake production deployment checklist,"snowflake prod checklist, execute snowflake production deployment checklist",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake prod checklist in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Snowflake SDK upgrades,"snowflake upgrade migration, plan and execute snowflake sdk upgrades",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/snowflake-pack/skills/snowflake-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Snowflake CI/CD integration,"snowflake ci integration, configure snowflake ci/cd integration",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake ci integration in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Snowflake integrations to production,"snowflake deploy pipeline, deploy snowflake integrations to production",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Snowflake webhook handling,"snowflake webhooks events, implement snowflake webhook handling",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Snowflake API performance,"snowflake performance tuning, optimize snowflake api performance",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Snowflake costs and usage,"snowflake cost tuning, optimize snowflake costs and usage",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
snowflake-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Snowflake reference architecture,"snowflake reference architecture, implement snowflake reference architecture",Claude Code skill; Snowflake SDK; local/cloud development,Working Snowflake integration; Tests passing; Documentation updated,Faster Snowflake integration; Reduced errors; Team productivity,Complete Snowflake reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/snowflake-pack/skills/snowflake-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
