Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
persona-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Persona SDK/CLI authentication,"persona install auth, install and configure persona sdk/cli authentication",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona install auth in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Persona example,"persona hello world, create a minimal working persona example",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona hello world in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Persona local development workflow,"persona local dev loop, configure persona local development workflow",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Persona SDK patterns,"persona sdk patterns, apply production-ready persona sdk patterns",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Persona primary workflow,"persona primary workflow, execute persona primary workflow",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Persona core feature integration,"persona core feature, implement persona core feature integration",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona core feature in under 15 minutes,true,onboarding,plugins/saas-packs/persona-pack/skills/persona-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Persona common errors,"persona common errors, diagnose and fix persona common errors",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona common errors in under 15 minutes,true,operations,plugins/saas-packs/persona-pack/skills/persona-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Persona debug evidence for support,"persona debug bundle, collect persona debug evidence for support",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona debug bundle in under 15 minutes,true,operations,plugins/saas-packs/persona-pack/skills/persona-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Persona rate limiting and backoff,"persona rate limits, implement persona rate limiting and backoff",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona rate limits in under 15 minutes,true,operations,plugins/saas-packs/persona-pack/skills/persona-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
persona-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Persona security best practices,"persona security basics, apply persona security best practices",Claude Code skill; Persona SDK; local/cloud development,Working Persona integration; Tests passing; Documentation updated,Faster Persona integration; Reduced errors; Team productivity,Complete Persona security basics in under 15 minutes,true,operations,plugins/saas-packs/persona-pack/skills/persona-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
