Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
clerk-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Clerk SDK/CLI authentication,"clerk install auth, install and configure clerk sdk/cli authentication",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk install auth in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Clerk example,"clerk hello world, create a minimal working clerk example",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk hello world in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Clerk local development workflow,"clerk local dev loop, configure clerk local development workflow",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Clerk SDK patterns,"clerk sdk patterns, apply production-ready clerk sdk patterns",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Clerk primary workflow,"clerk primary workflow, execute clerk primary workflow",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Clerk core feature integration,"clerk core feature, implement clerk core feature integration",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk core feature in under 15 minutes,true,onboarding,plugins/saas-packs/clerk-pack/skills/clerk-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Clerk common errors,"clerk common errors, diagnose and fix clerk common errors",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk common errors in under 15 minutes,true,operations,plugins/saas-packs/clerk-pack/skills/clerk-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Clerk debug evidence for support,"clerk debug bundle, collect clerk debug evidence for support",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk debug bundle in under 15 minutes,true,operations,plugins/saas-packs/clerk-pack/skills/clerk-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Clerk rate limiting and backoff,"clerk rate limits, implement clerk rate limiting and backoff",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk rate limits in under 15 minutes,true,operations,plugins/saas-packs/clerk-pack/skills/clerk-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clerk-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Clerk security best practices,"clerk security basics, apply clerk security best practices",Claude Code skill; Clerk SDK; local/cloud development,Working Clerk integration; Tests passing; Documentation updated,Faster Clerk integration; Reduced errors; Team productivity,Complete Clerk security basics in under 15 minutes,true,operations,plugins/saas-packs/clerk-pack/skills/clerk-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
