Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
twinmind-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure TwinMind SDK/CLI authentication,"twinmind install auth, install and configure twinmind sdk/cli authentication",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind install auth in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working TwinMind example,"twinmind hello world, create a minimal working twinmind example",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind hello world in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure TwinMind local development workflow,"twinmind local dev loop, configure twinmind local development workflow",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready TwinMind SDK patterns,"twinmind sdk patterns, apply production-ready twinmind sdk patterns",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute TwinMind primary workflow,"twinmind primary workflow, execute twinmind primary workflow",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement TwinMind core feature integration,"twinmind core feature, implement twinmind core feature integration",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind core feature in under 15 minutes,true,onboarding,plugins/saas-packs/twinmind-pack/skills/twinmind-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix TwinMind common errors,"twinmind common errors, diagnose and fix twinmind common errors",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind common errors in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect TwinMind debug evidence for support,"twinmind debug bundle, collect twinmind debug evidence for support",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind debug bundle in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement TwinMind rate limiting and backoff,"twinmind rate limits, implement twinmind rate limiting and backoff",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind rate limits in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply TwinMind security best practices,"twinmind security basics, apply twinmind security best practices",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind security basics in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute TwinMind production deployment checklist,"twinmind prod checklist, execute twinmind production deployment checklist",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind prod checklist in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
twinmind-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute TwinMind SDK upgrades,"twinmind upgrade migration, plan and execute twinmind sdk upgrades",Claude Code skill; TwinMind SDK; local/cloud development,Working TwinMind integration; Tests passing; Documentation updated,Faster TwinMind integration; Reduced errors; Team productivity,Complete TwinMind upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/twinmind-pack/skills/twinmind-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
