id,shape_description,skill_count
1,SKILL.md + references/,693
2,SKILL.md,518
3,SKILL.md + assets/ + references/ + scripts/,165
4,SKILL.md + config/ + references/ + scripts/ + ARD.md + PRD.md,22
5,SKILL.md + references/ + scripts/,17
6,SKILL.md + assets/ + config/ + references/ + scripts/,3
7,SKILL.md + assets/ + references/ + scripts/ + SKILL.md.tmp,3
8,SKILL.md + assets/ + references/ + resources/ + scripts/,1
9,SKILL.md + .claude-plugin/ + commands/ + hooks/ + scripts/ + LICENSE + README.md,1
10,SKILL.md + config/ + data/ + references/ + scripts/,1
11,SKILL.md + .pytest_cache/ + commands/ + config/ + data/ + references/ + reports/ + scripts/ + tests/,1
12,SKILL.md + agents/ + assets/ + eval-viewer/ + references/ + scripts/ + templates/,1
