Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
canva-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Canva SDK/CLI authentication,"canva install auth, install and configure canva sdk/cli authentication",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva install auth in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Canva example,"canva hello world, create a minimal working canva example",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva hello world in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Canva local development workflow,"canva local dev loop, configure canva local development workflow",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Canva SDK patterns,"canva sdk patterns, apply production-ready canva sdk patterns",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Canva primary workflow,"canva primary workflow, execute canva primary workflow",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Canva core feature integration,"canva core feature, implement canva core feature integration",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva core feature in under 15 minutes,true,onboarding,plugins/saas-packs/canva-pack/skills/canva-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Canva common errors,"canva common errors, diagnose and fix canva common errors",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva common errors in under 15 minutes,true,operations,plugins/saas-packs/canva-pack/skills/canva-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Canva debug evidence for support,"canva debug bundle, collect canva debug evidence for support",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva debug bundle in under 15 minutes,true,operations,plugins/saas-packs/canva-pack/skills/canva-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Canva rate limiting and backoff,"canva rate limits, implement canva rate limiting and backoff",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva rate limits in under 15 minutes,true,operations,plugins/saas-packs/canva-pack/skills/canva-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
canva-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Canva security best practices,"canva security basics, apply canva security best practices",Claude Code skill; Canva SDK; local/cloud development,Working Canva integration; Tests passing; Documentation updated,Faster Canva integration; Reduced errors; Team productivity,Complete Canva security basics in under 15 minutes,true,operations,plugins/saas-packs/canva-pack/skills/canva-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
