id,name,path,plugin_count,skill_count,file_count,has_readme,has_changelog,has_package_json,category_indicator
1,ai-agency,plugins/ai-agency,6,0,90,1,0,0,ai
2,ai-ml,plugins/ai-ml,33,33,374,1,0,0,ai
3,api-development,plugins/api-development,25,25,518,1,0,0,api-development
4,automation,plugins/automation,1,1,20,0,0,0,automation
5,business-tools,plugins/business-tools,19,26,221,0,0,0,business
6,community,plugins/community,10,11,246,0,0,0,meta
7,crypto,plugins/crypto,26,25,656,0,0,0,crypto
8,database,plugins/database,25,25,253,1,0,0,infrastructure
9,design,plugins/design,7,7,78,0,0,0,meta
10,devops,plugins/devops,32,33,389,1,0,0,infrastructure
11,examples,plugins/examples,5,7,121,0,0,0,meta
12,finance,plugins/finance,1,0,23,0,0,0,business
13,jeremy-google-adk,plugins/jeremy-google-adk,1,1,6,1,0,0,ai
14,jeremy-vertex-ai,plugins/jeremy-vertex-ai,1,1,5,1,0,0,ai
15,mcp,plugins/mcp,9,2,290,0,0,0,tooling
16,packages,plugins/packages,5,3,188,0,0,0,tooling
17,performance,plugins/performance,25,24,243,1,0,0,infrastructure
18,productivity,plugins/productivity,18,29,241,0,0,0,business
19,saas-packs,plugins/saas-packs,43,1116,5227,0,0,0,saas
20,security,plugins/security,25,25,262,1,0,0,infrastructure
21,skill-enhancers,plugins/skill-enhancers,7,7,210,0,0,0,meta
22,testing,plugins/testing,25,25,271,1,0,0,infrastructure
