Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
figma-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Figma SDK/CLI authentication,"figma install auth, install and configure figma sdk/cli authentication",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma install auth in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Figma example,"figma hello world, create a minimal working figma example",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma hello world in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Figma local development workflow,"figma local dev loop, configure figma local development workflow",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Figma SDK patterns,"figma sdk patterns, apply production-ready figma sdk patterns",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Figma primary workflow,"figma primary workflow, execute figma primary workflow",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Figma core feature integration,"figma core feature, implement figma core feature integration",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma core feature in under 15 minutes,true,onboarding,plugins/saas-packs/figma-pack/skills/figma-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Figma common errors,"figma common errors, diagnose and fix figma common errors",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma common errors in under 15 minutes,true,operations,plugins/saas-packs/figma-pack/skills/figma-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Figma debug evidence for support,"figma debug bundle, collect figma debug evidence for support",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma debug bundle in under 15 minutes,true,operations,plugins/saas-packs/figma-pack/skills/figma-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Figma rate limiting and backoff,"figma rate limits, implement figma rate limiting and backoff",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma rate limits in under 15 minutes,true,operations,plugins/saas-packs/figma-pack/skills/figma-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
figma-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Figma security best practices,"figma security basics, apply figma security best practices",Claude Code skill; Figma SDK; local/cloud development,Working Figma integration; Tests passing; Documentation updated,Faster Figma integration; Reduced errors; Team productivity,Complete Figma security basics in under 15 minutes,true,operations,plugins/saas-packs/figma-pack/skills/figma-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
