Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
replit-install-auth,"Developers, Students, Hobbyists","Install and configure Replit CLI authentication including API token setup, OAuth flow, and connection verification","install replit, setup replit, replit auth, configure replit CLI, replit login","Claude Code skill; Replit platform; local/cloud development","Installed CLI package, configured API token or OAuth, successful connection verification to Replit workspace","Reduced setup time, standardized authentication across team","Complete Replit CLI setup in under 3 minutes with verified connection","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-install-auth/","Read, Write, Edit, Bash(npm:*), Bash(curl:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-hello-world,"New Replit users, Students learning to code","Create a minimal working Replit project demonstrating core platform patterns and instant deployment","replit hello world, replit example, replit quick start, first replit project","Claude Code skill; Replit platform; browser/cloud development","Working Repl with code execution, accessible public URL, successful deployment","Faster developer onboarding, reduced learning curve","Execute first deployed Replit project within 5 minutes of signup","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-hello-world/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-workspace-setup,"Developers, Teams, Educators","Configure Replit workspace with extensions, themes, keybindings, and collaborative settings for optimal productivity","replit dev setup, replit workspace, replit environment, configure replit IDE","Claude Code skill; Replit platform; browser/cloud development","Configured workspace with preferred extensions, themes, keybindings, and team sharing settings","Improved developer productivity, consistent team environments","Achieve optimal development environment in under 10 minutes","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-workspace-setup/","Read, Write, Edit, Bash(npm:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-agent-basics,"Developers, Product managers, Non-technical users","Use Replit Agent to build applications from natural language prompts with AI-powered code generation","replit agent, AI build app, replit AI, build with agent, natural language code","Claude Code skill; Replit platform; browser/cloud development","Agent-generated application with functional code, working deployment, iterative refinement capability","Rapid prototyping, reduced development time, democratized coding","Build functional application from prompt in under 15 minutes","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-agent-basics/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-database-setup,"Backend developers, Full-stack developers","Configure Replit Database (key-value store) or connect external databases like PostgreSQL and MongoDB","replit database, replit db, replit postgres, replit mongodb, replit data storage","Claude Code skill; Replit platform; browser/cloud development","Database connection established, CRUD operations working, environment variables secured","Persistent data storage, production-ready database connectivity","Connect and test database operations in under 10 minutes","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-database-setup/","Read, Write, Edit, Bash(pip:*), Bash(npm:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-secrets-management,"Developers, DevOps engineers, Security-conscious users","Configure Replit Secrets for secure environment variable storage with team sharing and rotation policies","replit secrets, replit env vars, replit environment variables, secure replit config","Claude Code skill; Replit platform; browser/cloud development","Secrets configured in Replit vault, accessed via environment variables, team permissions set","Secure credential management, zero hardcoded secrets in code","100% secrets stored in vault with proper access controls","true","onboarding","plugins/saas-packs/replit-pack/skills/replit-secrets-management/","Read, Write, Edit, Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-common-errors,"All Replit developers, Students, Support seekers","Diagnose and fix top 10 most common Replit errors including package installation, port binding, and resource limits","replit error, fix replit, replit not working, debug replit, replit broken","Claude Code skill; Replit platform; browser/cloud development","Identified error cause, applied fix, verified resolution","Reduced downtime, faster issue resolution, improved self-service","Resolve 90% of common errors without support escalation","true","operations","plugins/saas-packs/replit-pack/skills/replit-common-errors/","Read, Grep, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-debug-bundle,"Support engineers, Educators helping students","Collect comprehensive diagnostic information for Replit support including logs, config, and resource usage","replit debug, replit support bundle, collect replit logs, replit diagnostic","Claude Code skill; Replit platform; browser/cloud development","Debug bundle with environment info, console logs, config files, and resource metrics","Faster support ticket resolution, better root cause analysis","Generate complete support bundle in under 2 minutes","true","operations","plugins/saas-packs/replit-pack/skills/replit-debug-bundle/","Read, Bash(grep:*), Grep","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-resource-limits,"Backend developers, Performance engineers","Understand and optimize Replit resource limits including CPU, memory, storage, and egress quotas","replit limits, replit quota, replit memory, replit CPU, replit resources, replit slow","Claude Code skill; Replit platform; browser/cloud development","Resource usage monitored, optimization applied, within tier limits","Optimized resource usage, predictable performance, avoided throttling","Stay within 80% of resource limits with alerting configured","true","operations","plugins/saas-packs/replit-pack/skills/replit-resource-limits/","Read, Write, Edit","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
replit-always-on-config,"Backend developers, SREs, Production operators","Configure Replit Always On feature for persistent server uptime with health checks and monitoring","replit always on, replit persistent, replit uptime, keep replit running, replit server","Claude Code skill; Replit platform; browser/cloud development","Always On enabled, health check endpoint responding, uptime monitoring active","24/7 application availability, reduced cold starts","99.9% uptime for Always On deployments","true","operations","plugins/saas-packs/replit-pack/skills/replit-always-on-config/","Read, Write, Edit, Bash(curl:*)","1.0.0","MIT","Jeremy Longshore <jeremy@intentsolutions.io>"
