Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
palantir-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Palantir SDK/CLI authentication,"palantir install auth, install and configure palantir sdk/cli authentication",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir install auth in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Palantir example,"palantir hello world, create a minimal working palantir example",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir hello world in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Palantir local development workflow,"palantir local dev loop, configure palantir local development workflow",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Palantir SDK patterns,"palantir sdk patterns, apply production-ready palantir sdk patterns",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Palantir primary workflow,"palantir primary workflow, execute palantir primary workflow",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Palantir core feature integration,"palantir core feature, implement palantir core feature integration",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir core feature in under 15 minutes,true,onboarding,plugins/saas-packs/palantir-pack/skills/palantir-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Palantir common errors,"palantir common errors, diagnose and fix palantir common errors",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir common errors in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Palantir debug evidence for support,"palantir debug bundle, collect palantir debug evidence for support",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir debug bundle in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Palantir rate limiting and backoff,"palantir rate limits, implement palantir rate limiting and backoff",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir rate limits in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Palantir security best practices,"palantir security basics, apply palantir security best practices",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir security basics in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Palantir production deployment checklist,"palantir prod checklist, execute palantir production deployment checklist",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir prod checklist in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Palantir SDK upgrades,"palantir upgrade migration, plan and execute palantir sdk upgrades",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/palantir-pack/skills/palantir-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
palantir-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Palantir CI/CD integration,"palantir ci integration, configure palantir ci/cd integration",Claude Code skill; Palantir SDK; local/cloud development,Working Palantir integration; Tests passing; Documentation updated,Faster Palantir integration; Reduced errors; Team productivity,Complete Palantir ci integration in under 15 minutes,true,cicd,plugins/saas-packs/palantir-pack/skills/palantir-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
