Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
stackblitz-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure StackBlitz SDK/CLI authentication,"stackblitz install auth, install and configure stackblitz sdk/cli authentication",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz install auth in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working StackBlitz example,"stackblitz hello world, create a minimal working stackblitz example",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz hello world in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure StackBlitz local development workflow,"stackblitz local dev loop, configure stackblitz local development workflow",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready StackBlitz SDK patterns,"stackblitz sdk patterns, apply production-ready stackblitz sdk patterns",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute StackBlitz primary workflow,"stackblitz primary workflow, execute stackblitz primary workflow",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement StackBlitz core feature integration,"stackblitz core feature, implement stackblitz core feature integration",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz core feature in under 15 minutes,true,onboarding,plugins/saas-packs/stackblitz-pack/skills/stackblitz-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix StackBlitz common errors,"stackblitz common errors, diagnose and fix stackblitz common errors",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz common errors in under 15 minutes,true,operations,plugins/saas-packs/stackblitz-pack/skills/stackblitz-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect StackBlitz debug evidence for support,"stackblitz debug bundle, collect stackblitz debug evidence for support",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz debug bundle in under 15 minutes,true,operations,plugins/saas-packs/stackblitz-pack/skills/stackblitz-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement StackBlitz rate limiting and backoff,"stackblitz rate limits, implement stackblitz rate limiting and backoff",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz rate limits in under 15 minutes,true,operations,plugins/saas-packs/stackblitz-pack/skills/stackblitz-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply StackBlitz security best practices,"stackblitz security basics, apply stackblitz security best practices",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz security basics in under 15 minutes,true,operations,plugins/saas-packs/stackblitz-pack/skills/stackblitz-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
stackblitz-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute StackBlitz production deployment checklist,"stackblitz prod checklist, execute stackblitz production deployment checklist",Claude Code skill; StackBlitz SDK; local/cloud development,Working StackBlitz integration; Tests passing; Documentation updated,Faster StackBlitz integration; Reduced errors; Team productivity,Complete StackBlitz prod checklist in under 15 minutes,true,operations,plugins/saas-packs/stackblitz-pack/skills/stackblitz-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
