Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
attio-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Attio SDK/CLI authentication,"attio install auth, install and configure attio sdk/cli authentication",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio install auth in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Attio example,"attio hello world, create a minimal working attio example",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio hello world in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Attio local development workflow,"attio local dev loop, configure attio local development workflow",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Attio SDK patterns,"attio sdk patterns, apply production-ready attio sdk patterns",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Attio primary workflow,"attio primary workflow, execute attio primary workflow",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Attio core feature integration,"attio core feature, implement attio core feature integration",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio core feature in under 15 minutes,true,onboarding,plugins/saas-packs/attio-pack/skills/attio-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Attio common errors,"attio common errors, diagnose and fix attio common errors",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio common errors in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Attio debug evidence for support,"attio debug bundle, collect attio debug evidence for support",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio debug bundle in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Attio rate limiting and backoff,"attio rate limits, implement attio rate limiting and backoff",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio rate limits in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Attio security best practices,"attio security basics, apply attio security best practices",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio security basics in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Attio production deployment checklist,"attio prod checklist, execute attio production deployment checklist",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio prod checklist in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Attio SDK upgrades,"attio upgrade migration, plan and execute attio sdk upgrades",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/attio-pack/skills/attio-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Attio CI/CD integration,"attio ci integration, configure attio ci/cd integration",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio ci integration in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Attio integrations to production,"attio deploy pipeline, deploy attio integrations to production",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Attio webhook handling,"attio webhooks events, implement attio webhook handling",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Attio API performance,"attio performance tuning, optimize attio api performance",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Attio costs and usage,"attio cost tuning, optimize attio costs and usage",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
attio-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Attio reference architecture,"attio reference architecture, implement attio reference architecture",Claude Code skill; Attio SDK; local/cloud development,Working Attio integration; Tests passing; Documentation updated,Faster Attio integration; Reduced errors; Team productivity,Complete Attio reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/attio-pack/skills/attio-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
