id,observation_type,paths_json,evidence,category
1,naming_convention,"[""plugins/saas-packs/retellai-pack/"", ""plugins/saas-packs/supabase-pack/""]","saas-packs use {service}-pack naming convention, while other packs use flat names like ai-ml, devops",naming_drift
2,type_inconsistency,"[""plugin.json author field""]",author is string in some plugins and object in others — two different representations for same concept,layout_inconsistency
3,duplicate_assets,"[""references/errors.md across openrouter-pack (30 identical)"", ""references/examples.md across klingai-pack (27 identical)""]","Reference files (errors.md, examples.md) are duplicated identically across many skills within the same pack — suggests templated generation without customization",duplicate_assets
4,build_artifacts_committed,"[""70 .pyc files in skill directories""]","Compiled Python bytecode files (.pyc) are present in the repo, typically from __pycache__",misplaced_docs
5,deep_nesting,"[""plugins/saas-packs/{service}-pack/skills/{skill-name}/""]","saas-packs adds an extra directory level (the -pack level) that other pack categories dont have, creating deeper nesting",layout_inconsistency
6,layout_inconsistency,"[""plugins/jeremy-google-adk/"", ""plugins/jeremy-vertex-ai/""]",These packs have plugin.json at both root AND .claude-plugin/ — inconsistent with other packs which only have it in .claude-plugin/,layout_inconsistency
7,naming_drift,"[""plugins/productivity/000-jeremy-memory-kit/"", ""plugins/productivity/002-jeremy-yaml-master/"", ""plugins/productivity/003-jeremy-vertex-ai-media-master/"", ""plugins/productivity/004-jeremy-meeting-prep/""]","Numbered prefix naming (000-, 002-, 003-, 004-) used only in productivity pack for Jeremy plugins — no other pack uses this convention",naming_drift
8,layout_inconsistency,"[""plugins/mcp/slack-channel/"", ""plugins/mcp/design-to-code/""]","MCP plugins vary widely: some have src/+dist/, some only dist/, some neither. No consistent MCP plugin structure.",layout_inconsistency
9,duplicate_assets,"[""59 skill-adapter directories across 6+ packs""]","skill-adapter template directories (with references/, assets/, scripts/) replicated across plugins but never containing actual SKILL.md — dead weight",duplicate_assets
10,convention_breakpoints,"[""plugins/crypto/ \u2014 22 skills with ARD.md + PRD.md""]",crypto pack uniquely includes Architecture Requirement Documents and Product Requirement Documents per skill — no other pack does this,convention_breakpoints
