Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
openrouter-install-auth,Developer integrating OpenRouter,Set up OpenRouter API authentication and configure API keys,When starting a new OpenRouter integration or troubleshooting auth issues,OpenRouter platform and development environment,API key configured and verified with successful test request,Secure and functional authentication enabling multi-model access,Enable secure API authentication for OpenRouter integrations,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-install-auth/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-hello-world,Developer new to OpenRouter,Create first API request with a simple example,When learning OpenRouter or testing setup,Development environment with API access,Successfully make first API call and receive response,Quick validation of API integration readiness,Make first successful API request,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-hello-world/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-model-catalog,Developer evaluating models,Explore and query the OpenRouter model catalog programmatically,When selecting models or checking availability,OpenRouter API and documentation,Understanding of 100+ available models and their capabilities,Optimal model selection for use case requirements,Navigate and select from model catalog,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-model-catalog/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-sdk-patterns,Developer building production apps,Implement common SDK patterns for OpenRouter integration,When building production applications,Python or Node.js development environment,Robust client with OpenAI SDK compatibility,Production-ready integration with reliable operation,Build maintainable and resilient OpenRouter client,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-sdk-patterns/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-openai-compat,Developer migrating from OpenAI,Use OpenRouter with existing OpenAI SDK code,When migrating from OpenAI or using existing code,Existing OpenAI SDK codebase,Seamless integration with minimal code changes,Faster migration with code reuse,Enable OpenAI SDK compatibility,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-openai-compat/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-pricing-basics,Developer or project manager,Understand OpenRouter pricing and cost optimization,When budgeting or optimizing costs,OpenRouter account and pricing dashboard,Clear cost estimates and model price comparison,Controlled spending within budget limits,Optimize multi-model API costs,Yes,onboarding,plugins/saas-packs/openrouter-pack/skills/openrouter-pricing-basics/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-common-errors,Developer troubleshooting issues,Diagnose and fix common OpenRouter API errors,When troubleshooting failed requests,Development environment with error logs,Identified and resolved API errors,Reduced downtime and faster issue resolution,Quickly resolve common API errors,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-common-errors/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-debug-bundle,Developer investigating issues,Set up comprehensive logging and debugging for OpenRouter,When investigating issues or monitoring requests,Development and staging environments,Structured logging with request tracing,Faster debugging and issue identification,Implement effective debugging infrastructure,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-debug-bundle/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-rate-limits,Developer building high-throughput systems,Handle OpenRouter rate limits with proper backoff strategies,When experiencing 429 errors or building high-throughput systems,Production systems with rate limiting,Smooth request throughput without rate limit errors,Reliable system operation under load,Handle rate limits gracefully,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-rate-limits/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-model-availability,Developer handling model outages,Monitor and handle model availability and fallbacks,When models become unavailable or degraded,Production systems requiring reliability,Automatic failover to alternative models,Continuous service availability,Handle model availability changes,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-model-availability/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-prod-checklist,DevOps engineer or developer,Pre-launch production readiness checklist for OpenRouter,When preparing to deploy to production,Production infrastructure,All checklist items verified and passed,Confident production deployment,Ensure production readiness,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-prod-checklist/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-upgrade-migration,Developer upgrading SDK,Migrate and upgrade OpenRouter integrations safely,When updating dependencies or migrating configurations,Development and staging environments,Successful migration with no breaking changes,Maintained stability during upgrades,Safely upgrade integrations,Yes,operations,plugins/saas-packs/openrouter-pack/skills/openrouter-upgrade-migration/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-fallback-config,Developer building reliable systems,Configure model fallback chains for reliability,When building fault-tolerant AI systems,Production systems requiring high availability,Automatic failover with minimal latency,Zero-downtime model failures,Configure model fallback chains,Yes,cicd,plugins/saas-packs/openrouter-pack/skills/openrouter-fallback-config/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-routing-rules,Developer optimizing model selection,Configure intelligent model routing rules,When optimizing for cost quality or speed,Model routing configuration,Dynamic model selection based on criteria,Optimal cost-quality-speed balance,Implement intelligent routing,Yes,cicd,plugins/saas-packs/openrouter-pack/skills/openrouter-routing-rules/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-streaming-setup,Developer building real-time apps,Configure streaming responses for real-time applications,When building chat interfaces or live outputs,Real-time application environment,Smooth streaming with proper token handling,Responsive user experience,Enable streaming responses,Yes,cicd,plugins/saas-packs/openrouter-pack/skills/openrouter-streaming-setup/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-caching-strategy,Developer optimizing costs,Implement caching strategies to reduce API costs,When optimizing costs or reducing latency,Caching infrastructure like Redis,Significant cost reduction through caching,Lower operational costs,Implement effective caching,Yes,cicd,plugins/saas-packs/openrouter-pack/skills/openrouter-caching-strategy/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-load-balancing,Developer scaling systems,Distribute load across OpenRouter instances,When scaling to handle high request volumes,Load balancing infrastructure,Even distribution with health checks,Scalable system architecture,Implement load balancing,Yes,cicd,plugins/saas-packs/openrouter-pack/skills/openrouter-load-balancing/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-reference-architecture,Solutions architect,Production-ready reference architecture for OpenRouter,When designing scalable AI platforms,Cloud infrastructure design phase,Complete architecture with best practices,Scalable and maintainable AI platform,Design production architecture,Yes,enterprise,plugins/saas-packs/openrouter-pack/skills/openrouter-reference-architecture/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
openrouter-team-setup,Team lead or admin,Configure OpenRouter for team and organization use,When setting up shared access or managing teams,Organization settings and admin panel,Role-based access with key isolation,Organized team collaboration,Set up team access and permissions,Yes,enterprise,plugins/saas-packs/openrouter-pack/skills/openrouter-team-setup/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
