Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
flexport-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Flexport SDK/CLI authentication,"flexport install auth, install and configure flexport sdk/cli authentication",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport install auth in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Flexport example,"flexport hello world, create a minimal working flexport example",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport hello world in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Flexport local development workflow,"flexport local dev loop, configure flexport local development workflow",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Flexport SDK patterns,"flexport sdk patterns, apply production-ready flexport sdk patterns",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Flexport primary workflow,"flexport primary workflow, execute flexport primary workflow",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Flexport core feature integration,"flexport core feature, implement flexport core feature integration",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport core feature in under 15 minutes,true,onboarding,plugins/saas-packs/flexport-pack/skills/flexport-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Flexport common errors,"flexport common errors, diagnose and fix flexport common errors",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport common errors in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Flexport debug evidence for support,"flexport debug bundle, collect flexport debug evidence for support",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport debug bundle in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Flexport rate limiting and backoff,"flexport rate limits, implement flexport rate limiting and backoff",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport rate limits in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Flexport security best practices,"flexport security basics, apply flexport security best practices",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport security basics in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Flexport production deployment checklist,"flexport prod checklist, execute flexport production deployment checklist",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport prod checklist in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Flexport SDK upgrades,"flexport upgrade migration, plan and execute flexport sdk upgrades",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/flexport-pack/skills/flexport-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Flexport CI/CD integration,"flexport ci integration, configure flexport ci/cd integration",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport ci integration in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Flexport integrations to production,"flexport deploy pipeline, deploy flexport integrations to production",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Flexport webhook handling,"flexport webhooks events, implement flexport webhook handling",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Flexport API performance,"flexport performance tuning, optimize flexport api performance",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Flexport costs and usage,"flexport cost tuning, optimize flexport costs and usage",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Flexport reference architecture,"flexport reference architecture, implement flexport reference architecture",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/flexport-pack/skills/flexport-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-multi-env-setup,"Backend developers, DevOps engineers, Full-stack developers",Configure Flexport multi-environment setup,"flexport multi env setup, configure flexport multi-environment setup",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport multi env setup in under 15 minutes,true,enterprise,plugins/saas-packs/flexport-pack/skills/flexport-multi-env-setup/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flexport-observability,"Backend developers, DevOps engineers, Full-stack developers",Set up Flexport monitoring and observability,"flexport observability, set up flexport monitoring and observability",Claude Code skill; Flexport SDK; local/cloud development,Working Flexport integration; Tests passing; Documentation updated,Faster Flexport integration; Reduced errors; Team productivity,Complete Flexport observability in under 15 minutes,true,enterprise,plugins/saas-packs/flexport-pack/skills/flexport-observability/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
