Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
framer-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Framer SDK/CLI authentication,"framer install auth, install and configure framer sdk/cli authentication",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer install auth in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Framer example,"framer hello world, create a minimal working framer example",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer hello world in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Framer local development workflow,"framer local dev loop, configure framer local development workflow",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Framer SDK patterns,"framer sdk patterns, apply production-ready framer sdk patterns",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Framer primary workflow,"framer primary workflow, execute framer primary workflow",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Framer core feature integration,"framer core feature, implement framer core feature integration",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer core feature in under 15 minutes,true,onboarding,plugins/saas-packs/framer-pack/skills/framer-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Framer common errors,"framer common errors, diagnose and fix framer common errors",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer common errors in under 15 minutes,true,operations,plugins/saas-packs/framer-pack/skills/framer-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Framer debug evidence for support,"framer debug bundle, collect framer debug evidence for support",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer debug bundle in under 15 minutes,true,operations,plugins/saas-packs/framer-pack/skills/framer-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Framer rate limiting and backoff,"framer rate limits, implement framer rate limiting and backoff",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer rate limits in under 15 minutes,true,operations,plugins/saas-packs/framer-pack/skills/framer-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
framer-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Framer security best practices,"framer security basics, apply framer security best practices",Claude Code skill; Framer SDK; local/cloud development,Working Framer integration; Tests passing; Documentation updated,Faster Framer integration; Reduced errors; Team productivity,Complete Framer security basics in under 15 minutes,true,operations,plugins/saas-packs/framer-pack/skills/framer-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
