package_name,latest_version,latest_tag,deprecated_flag,license,homepage,repository_url,latest_published_at,version_count,last_week_downloads,last_month_downloads
@biomejs/biome,2.4.8,latest,0,MIT OR Apache-2.0,https://biomejs.dev,git+https://github.com/biomejs/biome.git,2026-03-18T13:51:52.321Z,130,3022324,22661370
@eslint/js,10.0.1,latest,0,MIT,https://eslint.org,git+https://github.com/eslint/eslint.git,2026-03-06T21:21:15.191Z,87,43586837,314720331
@modelcontextprotocol/sdk,1.27.1,latest,0,MIT,https://modelcontextprotocol.io,git+https://github.com/modelcontextprotocol/typescript-sdk.git,2026-02-24T21:59:49.959Z,76,14236815,85029129
@octokit/rest,22.0.1,latest,0,MIT,https://github.com/octokit/rest.js#readme,git+https://github.com/octokit/rest.js.git,2025-10-31T20:59:36.986Z,303,6380286,49437144
@playwright/test,1.58.2,latest,0,Apache-2.0,https://playwright.dev,git+https://github.com/microsoft/playwright.git,2026-03-21T05:29:39.585Z,3080,13905005,88671205
@slack/socket-mode,2.0.6,latest,0,MIT,https://docs.slack.dev/tools/node-slack-sdk/socket-mode/,git+https://github.com/slackapi/node-slack-sdk.git,2026-03-13T00:53:17.194Z,27,1585175,8435770
@slack/web-api,7.15.0,latest,0,MIT,https://docs.slack.dev/tools/node-slack-sdk/web-api/,git+https://github.com/slackapi/node-slack-sdk.git,2026-03-13T00:50:38.983Z,95,3670972,25025625
@tailwindcss/postcss,4.2.2,latest,0,MIT,https://tailwindcss.com,git+https://github.com/tailwindlabs/tailwindcss.git,2026-03-20T16:43:07.711Z,763,10673541,64069083
@tailwindcss/vite,4.2.2,latest,0,MIT,https://tailwindcss.com,git+https://github.com/tailwindlabs/tailwindcss.git,2026-03-20T16:43:14.615Z,763,6069572,40938260
@tanstack/react-query,5.94.5,latest,0,MIT,https://tanstack.com/query,git+https://github.com/TanStack/query.git,2026-03-21T16:01:09.166Z,494,12139840,91918090
@types/bun,1.3.11,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/bun,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2026-03-18T18:18:30.136Z,68,3139757,20730741
@types/cors,2.8.19,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/cors,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2025-08-03T06:34:12.244Z,34,8486197,63794903
@types/express,5.0.6,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/express,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2025-12-01T20:35:57.841Z,57,24085597,182653073
@types/fs-extra,11.0.4,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/fs-extra,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2025-08-03T08:03:59.246Z,76,,
@types/node,25.5.0,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/node,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2026-03-12T15:48:17.684Z,2315,,
@types/react,19.2.14,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2026-02-11T11:45:07.106Z,695,,
@types/react-dom,19.2.3,latest,0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped/tree/master/types/react-dom,https://github.com/DefinitelyTyped/DefinitelyTyped.git,2025-11-12T04:37:45.678Z,182,,
@types/react-window,2.0.0,latest,1,MIT,,,2025-09-16T21:33:14.447Z,15,,
