Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
lindy-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Lindy SDK/CLI authentication,"lindy install auth, install and configure lindy sdk/cli authentication",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy install auth in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Lindy example,"lindy hello world, create a minimal working lindy example",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy hello world in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Lindy local development workflow,"lindy local dev loop, configure lindy local development workflow",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Lindy SDK patterns,"lindy sdk patterns, apply production-ready lindy sdk patterns",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Lindy primary workflow,"lindy primary workflow, execute lindy primary workflow",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Lindy core feature integration,"lindy core feature, implement lindy core feature integration",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy core feature in under 15 minutes,true,onboarding,plugins/saas-packs/lindy-pack/skills/lindy-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Lindy common errors,"lindy common errors, diagnose and fix lindy common errors",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy common errors in under 15 minutes,true,operations,plugins/saas-packs/lindy-pack/skills/lindy-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Lindy debug evidence for support,"lindy debug bundle, collect lindy debug evidence for support",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy debug bundle in under 15 minutes,true,operations,plugins/saas-packs/lindy-pack/skills/lindy-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Lindy rate limiting and backoff,"lindy rate limits, implement lindy rate limiting and backoff",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy rate limits in under 15 minutes,true,operations,plugins/saas-packs/lindy-pack/skills/lindy-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
lindy-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Lindy security best practices,"lindy security basics, apply lindy security best practices",Claude Code skill; Lindy SDK; local/cloud development,Working Lindy integration; Tests passing; Documentation updated,Faster Lindy integration; Reduced errors; Team productivity,Complete Lindy security basics in under 15 minutes,true,operations,plugins/saas-packs/lindy-pack/skills/lindy-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
