Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
quicknode-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure QuickNode SDK/CLI authentication,"quicknode install auth, install and configure quicknode sdk/cli authentication",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode install auth in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working QuickNode example,"quicknode hello world, create a minimal working quicknode example",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode hello world in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure QuickNode local development workflow,"quicknode local dev loop, configure quicknode local development workflow",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready QuickNode SDK patterns,"quicknode sdk patterns, apply production-ready quicknode sdk patterns",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute QuickNode primary workflow,"quicknode primary workflow, execute quicknode primary workflow",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement QuickNode core feature integration,"quicknode core feature, implement quicknode core feature integration",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode core feature in under 15 minutes,true,onboarding,plugins/saas-packs/quicknode-pack/skills/quicknode-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix QuickNode common errors,"quicknode common errors, diagnose and fix quicknode common errors",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode common errors in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect QuickNode debug evidence for support,"quicknode debug bundle, collect quicknode debug evidence for support",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode debug bundle in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement QuickNode rate limiting and backoff,"quicknode rate limits, implement quicknode rate limiting and backoff",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode rate limits in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply QuickNode security best practices,"quicknode security basics, apply quicknode security best practices",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode security basics in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute QuickNode production deployment checklist,"quicknode prod checklist, execute quicknode production deployment checklist",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode prod checklist in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute QuickNode SDK upgrades,"quicknode upgrade migration, plan and execute quicknode sdk upgrades",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/quicknode-pack/skills/quicknode-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure QuickNode CI/CD integration,"quicknode ci integration, configure quicknode ci/cd integration",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode ci integration in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy QuickNode integrations to production,"quicknode deploy pipeline, deploy quicknode integrations to production",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement QuickNode webhook handling,"quicknode webhooks events, implement quicknode webhook handling",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize QuickNode API performance,"quicknode performance tuning, optimize quicknode api performance",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize QuickNode costs and usage,"quicknode cost tuning, optimize quicknode costs and usage",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
quicknode-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement QuickNode reference architecture,"quicknode reference architecture, implement quicknode reference architecture",Claude Code skill; QuickNode SDK; local/cloud development,Working QuickNode integration; Tests passing; Documentation updated,Faster QuickNode integration; Reduced errors; Team productivity,Complete QuickNode reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/quicknode-pack/skills/quicknode-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
