Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
perplexity-install-auth,Developer integrating Perplexity,Set up Perplexity API authentication and configure API keys,When starting a new Perplexity integration or troubleshooting auth issues,Perplexity platform and development environment,API key configured and verified with successful test search query,Secure and functional authentication enabling AI-powered search,Enable secure API authentication for Perplexity integrations,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-install-auth/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-hello-world,Developer new to Perplexity,Create first search query with a simple example,When learning Perplexity API or testing setup,Development environment with API access,Successfully make first search request and receive response with citations,Quick validation of API integration readiness,Make first successful search query,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-hello-world/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-model-selection,Developer choosing models,Explore Perplexity model options and select optimal configuration,When selecting between sonar models or optimizing for use case,Perplexity API and documentation,Understanding of available models and their tradeoffs,Optimal model selection balancing speed accuracy and cost,Navigate and select from available models,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-model-selection/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-sdk-patterns,Developer building production apps,Implement common SDK patterns for Perplexity integration,When building production applications with search,Python or Node.js development environment,Robust client with proper error handling and retries,Production-ready integration with reliable operation,Build maintainable and resilient Perplexity client,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-sdk-patterns/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-citation-handling,Developer processing search results,Parse and display citations from Perplexity responses,When building applications that show sources,Application frontend or backend processing,Citations extracted parsed and displayed correctly,User trust through transparent source attribution,Handle citations and source attribution,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-citation-handling/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-pricing-usage,Developer or project manager,Understand Perplexity pricing tiers and usage optimization,When budgeting or optimizing API costs,Perplexity account and usage dashboard,Clear cost estimates and tier comparison,Controlled spending within budget limits,Optimize search API costs,Yes,onboarding,plugins/saas-packs/perplexity-pack/skills/perplexity-pricing-usage/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-common-errors,Developer troubleshooting issues,Diagnose and fix common Perplexity API errors,When troubleshooting failed search requests,Development environment with error logs,Identified and resolved API errors,Reduced downtime and faster issue resolution,Quickly resolve common API errors,Yes,operations,plugins/saas-packs/perplexity-pack/skills/perplexity-common-errors/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-debug-logging,Developer investigating issues,Set up comprehensive logging and debugging for Perplexity,When investigating issues or monitoring requests,Development and staging environments,Structured logging with request tracing,Faster debugging and issue identification,Implement effective debugging infrastructure,Yes,operations,plugins/saas-packs/perplexity-pack/skills/perplexity-debug-logging/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-rate-limits,Developer building high-volume systems,Handle Perplexity rate limits with proper backoff strategies,When experiencing 429 errors or building high-throughput systems,Production systems with rate limiting,Smooth request throughput without rate limit errors,Reliable system operation under load,Handle rate limits gracefully,Yes,operations,plugins/saas-packs/perplexity-pack/skills/perplexity-rate-limits/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-response-validation,Developer ensuring quality,Validate and verify Perplexity search responses,When ensuring response quality and accuracy,Response processing pipeline,Responses validated for completeness and accuracy,High-quality search results for users,Validate response quality,Yes,operations,plugins/saas-packs/perplexity-pack/skills/perplexity-response-validation/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
perplexity-prod-checklist,DevOps engineer or developer,Pre-launch production readiness checklist for Perplexity,When preparing to deploy to production,Production infrastructure,All checklist items verified and passed,Confident production deployment,Ensure production readiness,Yes,operations,plugins/saas-packs/perplexity-pack/skills/perplexity-prod-checklist/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
