id,plugin_path,plugin_json_path,pack_name,has_readme,has_package_json,has_mcp_json,has_src_dir,has_commands_dir,has_agents_dir,has_skills_dir,file_count
1,plugins/ai-agency/discovery-questionnaire,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,0,1,14
2,plugins/ai-agency/make-scenario-builder,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,1,1,15
3,plugins/ai-agency/n8n-workflow-designer,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,1,1,15
4,plugins/ai-agency/roi-calculator,plugins/ai-agency/roi-calculator/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,0,1,14
5,plugins/ai-agency/sow-generator,plugins/ai-agency/sow-generator/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,0,1,14
6,plugins/ai-agency/zapier-zap-builder,plugins/ai-agency/zapier-zap-builder/.claude-plugin/plugin.json,ai-agency,1,0,0,0,1,0,1,14
7,plugins/ai-ml/ai-ethics-validator,plugins/ai-ml/ai-ethics-validator/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,14
8,plugins/ai-ml/ai-sdk-agents,plugins/ai-ml/ai-sdk-agents/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,1,1,20
9,plugins/ai-ml/anomaly-detection-system,plugins/ai-ml/anomaly-detection-system/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
10,plugins/ai-ml/automl-pipeline-builder,plugins/ai-ml/automl-pipeline-builder/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,15
11,plugins/ai-ml/classification-model-builder,plugins/ai-ml/classification-model-builder/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,9
12,plugins/ai-ml/clustering-algorithm-runner,plugins/ai-ml/clustering-algorithm-runner/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
13,plugins/ai-ml/computer-vision-processor,plugins/ai-ml/computer-vision-processor/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,9
14,plugins/ai-ml/data-preprocessing-pipeline,plugins/ai-ml/data-preprocessing-pipeline/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,13
15,plugins/ai-ml/data-visualization-creator,plugins/ai-ml/data-visualization-creator/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,9
16,plugins/ai-ml/dataset-splitter,plugins/ai-ml/dataset-splitter/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
17,plugins/ai-ml/deep-learning-optimizer,plugins/ai-ml/deep-learning-optimizer/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,10
18,plugins/ai-ml/experiment-tracking-setup,plugins/ai-ml/experiment-tracking-setup/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,8
19,plugins/ai-ml/feature-engineering-toolkit,plugins/ai-ml/feature-engineering-toolkit/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,12
20,plugins/ai-ml/hyperparameter-tuner,plugins/ai-ml/hyperparameter-tuner/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,10
21,plugins/ai-ml/jeremy-adk-orchestrator,plugins/ai-ml/jeremy-adk-orchestrator/.claude-plugin/plugin.json,ai-ml,1,0,0,0,0,1,1,19
22,plugins/ai-ml/jeremy-adk-software-engineer,plugins/ai-ml/jeremy-adk-software-engineer/.claude-plugin/plugin.json,ai-ml,1,0,0,0,0,0,1,6
23,plugins/ai-ml/jeremy-gcp-starter-examples,plugins/ai-ml/jeremy-gcp-starter-examples/.claude-plugin/plugin.json,ai-ml,1,0,0,0,0,1,1,12
24,plugins/ai-ml/jeremy-genkit-pro,plugins/ai-ml/jeremy-genkit-pro/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,1,1,12
25,plugins/ai-ml/jeremy-vertex-engine,plugins/ai-ml/jeremy-vertex-engine/.claude-plugin/plugin.json,ai-ml,1,0,0,0,0,1,1,12
26,plugins/ai-ml/jeremy-vertex-validator,plugins/ai-ml/jeremy-vertex-validator/.claude-plugin/plugin.json,ai-ml,1,0,0,0,0,0,1,17
27,plugins/ai-ml/ml-model-trainer,plugins/ai-ml/ml-model-trainer/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
28,plugins/ai-ml/model-deployment-helper,plugins/ai-ml/model-deployment-helper/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,8
29,plugins/ai-ml/model-evaluation-suite,plugins/ai-ml/model-evaluation-suite/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,9
30,plugins/ai-ml/model-explainability-tool,plugins/ai-ml/model-explainability-tool/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
31,plugins/ai-ml/model-versioning-tracker,plugins/ai-ml/model-versioning-tracker/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,12
32,plugins/ai-ml/neural-network-builder,plugins/ai-ml/neural-network-builder/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,8
33,plugins/ai-ml/nlp-text-analyzer,plugins/ai-ml/nlp-text-analyzer/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,12
34,plugins/ai-ml/ollama-local-ai,plugins/ai-ml/ollama-local-ai/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,8
35,plugins/ai-ml/recommendation-engine,plugins/ai-ml/recommendation-engine/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,9
36,plugins/ai-ml/regression-analysis-tool,plugins/ai-ml/regression-analysis-tool/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,13
37,plugins/ai-ml/sentiment-analysis-tool,plugins/ai-ml/sentiment-analysis-tool/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,10
38,plugins/ai-ml/time-series-forecaster,plugins/ai-ml/time-series-forecaster/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
39,plugins/ai-ml/transfer-learning-adapter,plugins/ai-ml/transfer-learning-adapter/.claude-plugin/plugin.json,ai-ml,1,0,0,0,1,0,1,11
40,plugins/api-development/api-authentication-builder,plugins/api-development/api-authentication-builder/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,22
41,plugins/api-development/api-batch-processor,plugins/api-development/api-batch-processor/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
42,plugins/api-development/api-cache-manager,plugins/api-development/api-cache-manager/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
43,plugins/api-development/api-contract-generator,plugins/api-development/api-contract-generator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
44,plugins/api-development/api-documentation-generator,plugins/api-development/api-documentation-generator/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
45,plugins/api-development/api-error-handler,plugins/api-development/api-error-handler/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
46,plugins/api-development/api-event-emitter,plugins/api-development/api-event-emitter/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,21
47,plugins/api-development/api-gateway-builder,plugins/api-development/api-gateway-builder/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,20
48,plugins/api-development/api-load-tester,plugins/api-development/api-load-tester/.claude-plugin/plugin.json,api-development,1,0,0,0,1,0,1,22
