Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
gamma-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Gamma SDK/CLI authentication,"gamma install auth, install and configure gamma sdk/cli authentication",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma install auth in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Gamma example,"gamma hello world, create a minimal working gamma example",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma hello world in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Gamma local development workflow,"gamma local dev loop, configure gamma local development workflow",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Gamma SDK patterns,"gamma sdk patterns, apply production-ready gamma sdk patterns",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Gamma primary workflow,"gamma primary workflow, execute gamma primary workflow",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Gamma core feature integration,"gamma core feature, implement gamma core feature integration",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma core feature in under 15 minutes,true,onboarding,plugins/saas-packs/gamma-pack/skills/gamma-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Gamma common errors,"gamma common errors, diagnose and fix gamma common errors",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma common errors in under 15 minutes,true,operations,plugins/saas-packs/gamma-pack/skills/gamma-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Gamma debug evidence for support,"gamma debug bundle, collect gamma debug evidence for support",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma debug bundle in under 15 minutes,true,operations,plugins/saas-packs/gamma-pack/skills/gamma-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Gamma rate limiting and backoff,"gamma rate limits, implement gamma rate limiting and backoff",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma rate limits in under 15 minutes,true,operations,plugins/saas-packs/gamma-pack/skills/gamma-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
gamma-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Gamma security best practices,"gamma security basics, apply gamma security best practices",Claude Code skill; Gamma SDK; local/cloud development,Working Gamma integration; Tests passing; Documentation updated,Faster Gamma integration; Reduced errors; Team productivity,Complete Gamma security basics in under 15 minutes,true,operations,plugins/saas-packs/gamma-pack/skills/gamma-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
