Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
langfuse-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Langfuse SDK/CLI authentication,"langfuse install auth, install and configure langfuse sdk/cli authentication",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse install auth in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Langfuse example,"langfuse hello world, create a minimal working langfuse example",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse hello world in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Langfuse local development workflow,"langfuse local dev loop, configure langfuse local development workflow",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Langfuse SDK patterns,"langfuse sdk patterns, apply production-ready langfuse sdk patterns",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Langfuse primary workflow,"langfuse primary workflow, execute langfuse primary workflow",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Langfuse core feature integration,"langfuse core feature, implement langfuse core feature integration",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse core feature in under 15 minutes,true,onboarding,plugins/saas-packs/langfuse-pack/skills/langfuse-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Langfuse common errors,"langfuse common errors, diagnose and fix langfuse common errors",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse common errors in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Langfuse debug evidence for support,"langfuse debug bundle, collect langfuse debug evidence for support",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse debug bundle in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Langfuse rate limiting and backoff,"langfuse rate limits, implement langfuse rate limiting and backoff",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse rate limits in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Langfuse security best practices,"langfuse security basics, apply langfuse security best practices",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse security basics in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Langfuse production deployment checklist,"langfuse prod checklist, execute langfuse production deployment checklist",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse prod checklist in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
langfuse-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Langfuse SDK upgrades,"langfuse upgrade migration, plan and execute langfuse sdk upgrades",Claude Code skill; Langfuse SDK; local/cloud development,Working Langfuse integration; Tests passing; Documentation updated,Faster Langfuse integration; Reduced errors; Team productivity,Complete Langfuse upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/langfuse-pack/skills/langfuse-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
