Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
adobe-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Adobe SDK/CLI authentication,"adobe install auth, install and configure adobe sdk/cli authentication",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe install auth in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Adobe example,"adobe hello world, create a minimal working adobe example",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe hello world in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Adobe local development workflow,"adobe local dev loop, configure adobe local development workflow",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Adobe SDK patterns,"adobe sdk patterns, apply production-ready adobe sdk patterns",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Adobe primary workflow,"adobe primary workflow, execute adobe primary workflow",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Adobe core feature integration,"adobe core feature, implement adobe core feature integration",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe core feature in under 15 minutes,true,onboarding,plugins/saas-packs/adobe-pack/skills/adobe-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Adobe common errors,"adobe common errors, diagnose and fix adobe common errors",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe common errors in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Adobe debug evidence for support,"adobe debug bundle, collect adobe debug evidence for support",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe debug bundle in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Adobe rate limiting and backoff,"adobe rate limits, implement adobe rate limiting and backoff",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe rate limits in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Adobe security best practices,"adobe security basics, apply adobe security best practices",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe security basics in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Adobe production deployment checklist,"adobe prod checklist, execute adobe production deployment checklist",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe prod checklist in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Adobe SDK upgrades,"adobe upgrade migration, plan and execute adobe sdk upgrades",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/adobe-pack/skills/adobe-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Adobe CI/CD integration,"adobe ci integration, configure adobe ci/cd integration",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe ci integration in under 15 minutes,true,cicd,plugins/saas-packs/adobe-pack/skills/adobe-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Adobe integrations to production,"adobe deploy pipeline, deploy adobe integrations to production",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/adobe-pack/skills/adobe-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Adobe webhook handling,"adobe webhooks events, implement adobe webhook handling",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/adobe-pack/skills/adobe-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Adobe API performance,"adobe performance tuning, optimize adobe api performance",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/adobe-pack/skills/adobe-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
adobe-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Adobe costs and usage,"adobe cost tuning, optimize adobe costs and usage",Claude Code skill; Adobe SDK; local/cloud development,Working Adobe integration; Tests passing; Documentation updated,Faster Adobe integration; Reduced errors; Team productivity,Complete Adobe cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/adobe-pack/skills/adobe-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
