Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
mistral-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Mistral AI SDK/CLI authentication,"mistral install auth, install and configure mistral ai sdk/cli authentication",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI install auth in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Mistral AI example,"mistral hello world, create a minimal working mistral ai example",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI hello world in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Mistral AI local development workflow,"mistral local dev loop, configure mistral ai local development workflow",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Mistral AI SDK patterns,"mistral sdk patterns, apply production-ready mistral ai sdk patterns",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Mistral AI primary workflow,"mistral primary workflow, execute mistral ai primary workflow",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Mistral AI core feature integration,"mistral core feature, implement mistral ai core feature integration",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI core feature in under 15 minutes,true,onboarding,plugins/saas-packs/mistral-pack/skills/mistral-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Mistral AI common errors,"mistral common errors, diagnose and fix mistral ai common errors",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI common errors in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Mistral AI debug evidence for support,"mistral debug bundle, collect mistral ai debug evidence for support",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI debug bundle in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Mistral AI rate limiting and backoff,"mistral rate limits, implement mistral ai rate limiting and backoff",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI rate limits in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Mistral AI security best practices,"mistral security basics, apply mistral ai security best practices",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI security basics in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Mistral AI production deployment checklist,"mistral prod checklist, execute mistral ai production deployment checklist",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI prod checklist in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Mistral AI SDK upgrades,"mistral upgrade migration, plan and execute mistral ai sdk upgrades",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/mistral-pack/skills/mistral-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Mistral AI CI/CD integration,"mistral ci integration, configure mistral ai ci/cd integration",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI ci integration in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Mistral AI integrations to production,"mistral deploy pipeline, deploy mistral ai integrations to production",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Mistral AI webhook handling,"mistral webhooks events, implement mistral ai webhook handling",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Mistral AI API performance,"mistral performance tuning, optimize mistral ai api performance",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Mistral AI costs and usage,"mistral cost tuning, optimize mistral ai costs and usage",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
mistral-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Mistral AI reference architecture,"mistral reference architecture, implement mistral ai reference architecture",Claude Code skill; Mistral AI SDK; local/cloud development,Working Mistral AI integration; Tests passing; Documentation updated,Faster Mistral AI integration; Reduced errors; Team productivity,Complete Mistral AI reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/mistral-pack/skills/mistral-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
