Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
bamboohr-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure BambooHR SDK/CLI authentication,"bamboohr install auth, install and configure bamboohr sdk/cli authentication",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR install auth in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working BambooHR example,"bamboohr hello world, create a minimal working bamboohr example",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR hello world in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure BambooHR local development workflow,"bamboohr local dev loop, configure bamboohr local development workflow",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready BambooHR SDK patterns,"bamboohr sdk patterns, apply production-ready bamboohr sdk patterns",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute BambooHR primary workflow,"bamboohr primary workflow, execute bamboohr primary workflow",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement BambooHR core feature integration,"bamboohr core feature, implement bamboohr core feature integration",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR core feature in under 15 minutes,true,onboarding,plugins/saas-packs/bamboohr-pack/skills/bamboohr-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix BambooHR common errors,"bamboohr common errors, diagnose and fix bamboohr common errors",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR common errors in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect BambooHR debug evidence for support,"bamboohr debug bundle, collect bamboohr debug evidence for support",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR debug bundle in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement BambooHR rate limiting and backoff,"bamboohr rate limits, implement bamboohr rate limiting and backoff",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR rate limits in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply BambooHR security best practices,"bamboohr security basics, apply bamboohr security best practices",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR security basics in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute BambooHR production deployment checklist,"bamboohr prod checklist, execute bamboohr production deployment checklist",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR prod checklist in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute BambooHR SDK upgrades,"bamboohr upgrade migration, plan and execute bamboohr sdk upgrades",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/bamboohr-pack/skills/bamboohr-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure BambooHR CI/CD integration,"bamboohr ci integration, configure bamboohr ci/cd integration",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR ci integration in under 15 minutes,true,cicd,plugins/saas-packs/bamboohr-pack/skills/bamboohr-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
bamboohr-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy BambooHR integrations to production,"bamboohr deploy pipeline, deploy bamboohr integrations to production",Claude Code skill; BambooHR SDK; local/cloud development,Working BambooHR integration; Tests passing; Documentation updated,Faster BambooHR integration; Reduced errors; Team productivity,Complete BambooHR deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/bamboohr-pack/skills/bamboohr-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
