Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
hubspot-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure HubSpot SDK/CLI authentication,"hubspot install auth, install and configure hubspot sdk/cli authentication",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot install auth in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working HubSpot example,"hubspot hello world, create a minimal working hubspot example",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot hello world in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure HubSpot local development workflow,"hubspot local dev loop, configure hubspot local development workflow",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready HubSpot SDK patterns,"hubspot sdk patterns, apply production-ready hubspot sdk patterns",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute HubSpot primary workflow,"hubspot primary workflow, execute hubspot primary workflow",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement HubSpot core feature integration,"hubspot core feature, implement hubspot core feature integration",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot core feature in under 15 minutes,true,onboarding,plugins/saas-packs/hubspot-pack/skills/hubspot-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix HubSpot common errors,"hubspot common errors, diagnose and fix hubspot common errors",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot common errors in under 15 minutes,true,operations,plugins/saas-packs/hubspot-pack/skills/hubspot-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect HubSpot debug evidence for support,"hubspot debug bundle, collect hubspot debug evidence for support",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot debug bundle in under 15 minutes,true,operations,plugins/saas-packs/hubspot-pack/skills/hubspot-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement HubSpot rate limiting and backoff,"hubspot rate limits, implement hubspot rate limiting and backoff",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot rate limits in under 15 minutes,true,operations,plugins/saas-packs/hubspot-pack/skills/hubspot-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hubspot-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply HubSpot security best practices,"hubspot security basics, apply hubspot security best practices",Claude Code skill; HubSpot SDK; local/cloud development,Working HubSpot integration; Tests passing; Documentation updated,Faster HubSpot integration; Reduced errors; Team productivity,Complete HubSpot security basics in under 15 minutes,true,operations,plugins/saas-packs/hubspot-pack/skills/hubspot-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
