id,path,doc_type,apparent_subject,subject_type,line_count,word_count
1,000-docs/001-RL-REPT-claude-code-plugins-release-v4.19.0.md,CLAUDE.md,repository,repo,111,413
2,000-docs/002-RA-REPT-marketplace-generation.md,other,repository,repo,181,434
3,000-docs/003-MS-OLDV-implementation-status.md,other,repository,repo,125,621
4,000-docs/004-MS-OLDV-phase-1-completion.md,other,repository,repo,434,1645
5,000-docs/005-TQ-SECU-security-status.md,SECURITY,repository,repo,24,133
6,000-docs/006-BL-POLI-code-of-conduct.md,other,repository,repo,64,380
7,000-docs/007-DR-GUID-contributing.md,CONTRIBUTING,repository,repo,397,1415
8,000-docs/008-TQ-SECU-security.md,SECURITY,repository,repo,408,1229
9,000-docs/009-MS-OLDV-task-complete.md,other,repository,repo,226,833
10,000-docs/010-MS-OLDV-plugin-catalog.md,other,repository,repo,403,952
11,000-docs/010-RL-REPT-claude-code-plugins-release-v4.20.0.md,CLAUDE.md,repository,repo,127,473
12,000-docs/011-MS-OLDV-release-v1-0-0.md,other,repository,repo,447,1500
13,000-docs/012-MS-OLDV-mcp-servers-status.md,other,repository,repo,234,585
14,000-docs/013-MS-OLDV-restructure-complete.md,other,repository,repo,584,1961
15,000-docs/014-MS-OLDV-ai-ml-plugins-complete.md,other,repository,repo,410,1150
16,000-docs/015-MS-OLDV-200-plugin-mission-complete.md,other,repository,repo,428,1383
17,000-docs/016-MS-OLDV-marketplace-generation-complete.md,other,repository,repo,321,955
18,000-docs/017-DR-MANL-setup.md,other,repository,repo,218,748
19,000-docs/018-DR-GUID-marketplace-deployment.md,other,repository,repo,323,902
20,000-docs/019-MS-DRFT-redesign.md,other,repository,repo,278,1028
21,000-docs/020-MS-OLDV-release.md,other,repository,repo,603,1959
22,000-docs/021-MS-OLDV-marketplace-audit.md,other,repository,repo,339,1526
23,000-docs/022-MS-OLDV-first-mover.md,other,repository,repo,440,1781
24,000-docs/023-MS-OLDV-plugin-repo.md,other,repository,repo,346,1201
25,000-docs/024-LS-STAT-marketplace-deployment-status.md,other,repository,repo,266,867
26,000-docs/025-RA-REPT-marketplace-deployment.md,other,repository,repo,379,1305
27,000-docs/026-DR-GUID-marketplace-deployment.md,other,repository,repo,127,377
28,000-docs/027-DR-GUID-marketplace-theme.md,other,repository,repo,528,1563
29,000-docs/028-DR-CHKL-deployment-checklist.md,other,repository,repo,343,1486
30,000-docs/029-RA-REPT-v1-0-42-verification.md,other,repository,repo,303,1269
31,000-docs/030-MS-OLDV-marketplace-ready.md,other,repository,repo,438,1424
32,000-docs/031-MS-OLDV-phased-development.md,other,repository,repo,596,2236
33,000-docs/032-MS-OLDV-plugin-categorization-matrix.md,other,repository,repo,426,2249
34,000-docs/033-MS-OLDV-phase-1-status.md,other,repository,repo,401,1319
35,000-docs/034-MS-OLDV-top-tier-plugin-ideas.md,other,repository,repo,624,2663
36,000-docs/035-MS-OLDV-research-findings.md,other,repository,repo,686,2856
37,000-docs/036-MS-OLDV-executive.md,other,repository,repo,580,2295
38,000-docs/037-RA-AUDT-anthropic-quality-audit.md,other,repository,repo,689,2647
39,000-docs/038-LS-STAT-v1-0-42-complete.md,other,repository,repo,429,1736
40,000-docs/039-MS-INDX-master-index.md,other,repository,repo,283,1155
41,000-docs/040-MC-MEMO-twitter-thread.md,other,repository,repo,519,1420
42,000-docs/041-PM-TASK-quality-master-tasks.md,other,repository,repo,1036,4008
43,000-docs/042-MC-SUMM-session.md,other,repository,repo,482,1685
44,000-docs/043-MC-MEMO-launch-v1-0-42.md,other,repository,repo,390,1352
45,000-docs/044-RA-ANLY-architecture-analysis.md,other,repository,repo,778,2996
46,000-docs/045-DR-GUID-quick.md,other,repository,repo,393,1415
47,000-docs/046-MC-SUMM-quality-exec.md,other,repository,repo,166,771
48,000-docs/047-RA-AUDT-compliance-audit.md,other,repository,repo,269,1062
49,000-docs/048-RA-AUDT-repo-audit-oct-2025.md,other,repository,repo,330,1374
50,000-docs/049-RA-AUDT-skills-powerkit-audit.md,other,repository,repo,406,1682
51,000-docs/050-DR-REFF-compliance-fixes.md,other,repository,repo,240,844
52,000-docs/051-RL-RSRC-anthropic-updates-oct-2025.md,other,repository,repo,651,2531
53,000-docs/052-MC-MEMO-release-v2-0-0.md,other,repository,repo,223,780
54,000-docs/053-PP-PLAN-skills-implementation.md,other,repository,repo,670,2072
55,000-docs/054-RL-PROP-monetization-strategy.md,other,repository,repo,946,5137
56,000-docs/055-LS-STAT-autonomous-impl-complete.md,other,repository,repo,615,2648
57,000-docs/056-OD-RELS-github-v1-0-40.md,other,repository,repo,262,1158
58,000-docs/057-MC-MEMO-github-discussions.md,other,repository,repo,154,528
59,000-docs/058-MC-SUMM-audit.md,other,repository,repo,84,370
60,000-docs/059-MC-MEMO-release-v1-0-40.md,other,repository,repo,199,861
61,000-docs/060-MC-MEMO-social-media.md,other,repository,repo,421,1489
62,000-docs/061-DR-CHKL-deployment-v1-0-42.md,other,repository,repo,528,1941
63,000-docs/062-OD-RELS-v1-0-40-complete.md,other,repository,repo,391,1716
64,000-docs/063-MC-SUMM-exec-oct-2025.md,other,repository,repo,257,886
65,000-docs/064-PM-TASK-quality-improvements.md,other,repository,repo,446,1684
66,000-docs/065-RL-RSRC-market-intelligence-oct-2025.md,other,repository,repo,280,1117
67,000-docs/066-AT-DIAG-architecture-diagrams.md,other,repository,repo,694,2470
68,000-docs/067-DR-TMPL-quality-template.md,other,repository,repo,626,2195
69,000-docs/068-DR-GUID-creating-plugins.md,other,repository,repo,221,583
70,000-docs/069-PM-BKLG-plugin-pack-requests.md,other,repository,repo,462,1871
71,000-docs/070-RL-PROP-monetization-alternatives.md,other,repository,repo,169,631
72,000-docs/071-DR-GUID-user-security.md,SECURITY,repository,repo,353,1205
73,000-docs/072-DR-GUID-seo-implementation.md,other,repository,repo,1112,4369
74,000-docs/073-DR-GUID-getting-started.md,other,repository,repo,106,290
75,000-docs/074-BL-POLI-sponsorship-info.md,other,repository,repo,266,1085
76,000-docs/075-DR-REFF-seo-meta-tags.md,other,repository,repo,499,1856
77,000-docs/076-DR-GUID-plugin-creator-path.md,other,repository,repo,586,1559
78,000-docs/077-UC-PERS-devops-engineer.md,other,repository,repo,425,1014
79,000-docs/078-UC-PERS-ai-ml-developer.md,other,repository,repo,634,1458
80,000-docs/079-UC-PERS-security-specialist.md,SECURITY,repository,repo,548,1362
81,000-docs/080-UC-PERS-crypto-trader.md,other,repository,repo,628,1539
82,000-docs/081-DR-GUID-quick-start-path.md,other,repository,repo,282,805
83,000-docs/082-DR-GUID-advanced-developer-path.md,other,repository,repo,772,1819
84,000-docs/083-RA-REPT-deployment.md,other,repository,repo,402,1462
85,000-docs/084-LS-STAT-skills-powerkit-release.md,other,repository,repo,349,1532
86,000-docs/085-AT-ADEC-safety-improvements.md,other,repository,repo,321,1191
87,000-docs/086-LS-LOGS-test-run-success.md,other,repository,repo,295,1209
88,000-docs/087-DR-GUID-agent-skills.md,other,repository,repo,529,2098
89,000-docs/088-DR-GUID-vertex-quota-instructions.md,other,repository,repo,409,1311
90,000-docs/089-LS-LOGS-batch-processing-status.md,other,repository,repo,373,1568
91,000-docs/090-TQ-TEST-skills-testing.md,other,repository,repo,517,1856
92,000-docs/091-DR-REFF-filing-system-standard-v2.md,ADR,repository,repo,252,1664
93,000-docs/092-MS-INDX-master-index.md,other,repository,repo,138,539
94,000-docs/093-RL-RSRC-plugin-installation-research.md,other,repository,repo,616,2624
95,000-docs/094-MC-SUMM-research.md,other,repository,repo,343,1459
96,000-docs/095-MS-INDX-research-index.md,other,repository,repo,350,1504
97,000-docs/096-AT-DSGN-anthropic-design-tokens.md,other,repository,repo,460,1401
98,000-docs/097-RA-ANLY-anthropic-skills-comparison.md,other,repository,repo,924,3158
99,000-docs/098-DR-REFF-anthropic-agent-skills.md,other,repository,repo,890,2954
100,000-docs/099-MC-SUMM-overnight-enhancement-system.md,other,repository,repo,462,1541
101,000-docs/100-DR-SOPS-overnight-enhancement.md,other,repository,repo,369,1239
102,000-docs/101-RA-ANLY-competitive-analysis.md,other,repository,repo,474,1708
103,000-docs/102-LS-STAT-credential-migration.md,other,repository,repo,157,485
104,000-docs/103-DR-SOPS-credential-migration.md,other,repository,repo,193,534
105,000-docs/104-LS-STAT-credential-migration-ready.md,other,repository,repo,130,397
106,000-docs/105-TQ-BUGR-fix-admincostplus-browser.md,other,repository,repo,236,566
107,000-docs/106-TQ-BUGR-fix-gh-auth-browser.md,other,repository,repo,250,568
108,000-docs/110-PP-PLAN-release-v1-2-0.md,other,repository,repo,677,3376
109,000-docs/111-DR-SOPS-morning-workflow.md,other,repository,repo,185,655
110,000-docs/112-RA-ANLY-batch-metrics-analysis.md,other,repository,repo,658,2938
111,000-docs/113-DR-GUID-implementation.md,other,repository,repo,449,1623
112,000-docs/114-RA-METR-batch-processing-metrics.md,other,repository,repo,434,1725
113,000-docs/115-AT-ARCH-skills-generation.md,other,repository,repo,626,1949
114,000-docs/116-RA-REPT-proof-work.md,other,repository,repo,460,1594
115,000-docs/117-DR-GUID-vertex-ai-batch-processing.md,other,repository,repo,168,906
116,000-docs/118-RA-AUDT-skills-audit.md,other,repository,repo,305,1103
117,000-docs/119-PM-BKLG-missing-skills-list.md,other,repository,repo,128,222
118,000-docs/120-MC-SUMM-skills-audit-executive.md,other,repository,repo,186,763
119,000-docs/121-PM-TASK-priority-skills-todo.md,other,repository,repo,192,623
