Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
podium-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Podium SDK/CLI authentication,"podium install auth, install and configure podium sdk/cli authentication",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium install auth in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Podium example,"podium hello world, create a minimal working podium example",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium hello world in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Podium local development workflow,"podium local dev loop, configure podium local development workflow",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Podium SDK patterns,"podium sdk patterns, apply production-ready podium sdk patterns",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Podium primary workflow,"podium primary workflow, execute podium primary workflow",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Podium core feature integration,"podium core feature, implement podium core feature integration",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium core feature in under 15 minutes,true,onboarding,plugins/saas-packs/podium-pack/skills/podium-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Podium common errors,"podium common errors, diagnose and fix podium common errors",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium common errors in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Podium debug evidence for support,"podium debug bundle, collect podium debug evidence for support",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium debug bundle in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Podium rate limiting and backoff,"podium rate limits, implement podium rate limiting and backoff",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium rate limits in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Podium security best practices,"podium security basics, apply podium security best practices",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium security basics in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Podium production deployment checklist,"podium prod checklist, execute podium production deployment checklist",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium prod checklist in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Podium SDK upgrades,"podium upgrade migration, plan and execute podium sdk upgrades",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/podium-pack/skills/podium-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Podium CI/CD integration,"podium ci integration, configure podium ci/cd integration",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium ci integration in under 15 minutes,true,cicd,plugins/saas-packs/podium-pack/skills/podium-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
podium-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Podium integrations to production,"podium deploy pipeline, deploy podium integrations to production",Claude Code skill; Podium SDK; local/cloud development,Working Podium integration; Tests passing; Documentation updated,Faster Podium integration; Reduced errors; Team productivity,Complete Podium deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/podium-pack/skills/podium-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
