source_file_path,source_entity_type,source_entity_name,package_name,declared_version_range,latest_version,latest_tag,appears_outdated_flag,declared_matches_latest_flag,notes
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@biomejs/biome,^1.9.4,2.4.8,latest,1,0,major behind: ^1.9.4 vs 2.4.8
packages/cli/package.json,package,@intentsolutionsio/ccpi,@eslint/js,^9.39.2,10.0.1,latest,1,0,major behind: ^9.39.2 vs 10.0.1
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@eslint/js,^9.39.2,10.0.1,latest,1,0,major behind: ^9.39.2 vs 10.0.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@octokit/rest,^21.1.1,22.0.1,latest,1,0,major behind: ^21.1.1 vs 22.0.1
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@octokit/rest,^20.0.2,22.0.1,latest,1,0,major behind: ^20.0.2 vs 22.0.1
package.json,root,claude-code-plugins-monorepo,@types/node,^20.19.27,25.5.0,latest,1,0,major behind: ^20.19.27 vs 25.5.0
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/node,^22.10.2,25.5.0,latest,1,0,major behind: ^22.10.2 vs 25.5.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,@types/node,^20.19.27,25.5.0,latest,1,0,major behind: ^20.19.27 vs 25.5.0
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@types/node,^22.13.10,25.5.0,latest,1,0,major behind: ^22.13.10 vs 25.5.0
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,@types/node,^20.19.27,25.5.0,latest,1,0,major behind: ^20.19.27 vs 25.5.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react,^18.3.17,19.2.14,latest,1,0,major behind: ^18.3.17 vs 19.2.14
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react-dom,^18.3.5,19.2.3,latest,1,0,major behind: ^18.3.5 vs 19.2.3
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@types/react-window,^1.8.8,2.0.0,latest,1,0,major behind: ^1.8.8 vs 2.0.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@vitejs/plugin-react,^4.3.4,6.0.1,latest,1,0,major behind: ^4.3.4 vs 6.0.1
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@vitest/coverage-v8,^3.2.4,4.1.0,latest,1,0,major behind: ^3.2.4 vs 4.1.0
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,@vitest/ui,^3.2.4,4.1.0,latest,1,0,major behind: ^3.2.4 vs 4.1.0
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,@vitest/ui,^2.0.0,4.1.0,latest,1,0,major behind: ^2.0.0 vs 4.1.0
marketplace/package.json,marketplace,marketplace,astro,^5.16.9,6.0.8,latest,1,0,major behind: ^5.16.9 vs 6.0.8
plugins/mcp/pr-to-spec/site/package.json,mcp-plugin,pr-to-spec-site,astro,^5.16.9,6.0.8,latest,1,0,major behind: ^5.16.9 vs 6.0.8
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,chokidar,^4.0.3,5.0.0,latest,1,0,major behind: ^4.0.3 vs 5.0.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,commander,^12.1.0,14.0.3,latest,1,0,major behind: ^12.1.0 vs 14.0.3
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,commander,^13.1.0,14.0.3,latest,1,0,major behind: ^13.1.0 vs 14.0.3
package.json,root,claude-code-plugins-monorepo,eslint,^9.39.2,10.1.0,latest,1,0,major behind: ^9.39.2 vs 10.1.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,eslint,^9.39.2,10.1.0,latest,1,0,major behind: ^9.39.2 vs 10.1.0
plugins/devops/sugar/mcp-server/package.json,plugin,sugar-mcp-server,eslint,^9.39.1,10.1.0,latest,1,0,major behind: ^9.39.1 vs 10.1.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,eslint,^9.39.2,10.1.0,latest,1,0,major behind: ^9.39.2 vs 10.1.0
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,express,^4.21.2,5.2.1,latest,1,0,major behind: ^4.21.2 vs 5.2.1
functions/package.json,unknown,claude-code-plugins-functions,firebase-functions,^6.0.0,7.2.2,latest,1,0,major behind: ^6.0.0 vs 7.2.2
packages/analytics-dashboard/package.json,package,@analytics/dashboard,immer,^10.1.1,11.1.4,latest,1,0,major behind: ^10.1.1 vs 11.1.4
packages/cli/package.json,package,@intentsolutionsio/ccpi,ora,^8.1.1,9.3.0,latest,1,0,major behind: ^8.1.1 vs 9.3.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react,^18.3.1,19.2.4,latest,1,0,major behind: ^18.3.1 vs 19.2.4
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react-dom,^18.3.1,19.2.4,latest,1,0,major behind: ^18.3.1 vs 19.2.4
packages/analytics-dashboard/package.json,package,@analytics/dashboard,react-window,^1.8.10,2.2.7,latest,1,0,major behind: ^1.8.10 vs 2.2.7
packages/analytics-dashboard/package.json,package,@analytics/dashboard,recharts,^2.15.0,3.8.0,latest,1,0,major behind: ^2.15.0 vs 3.8.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,vite,^6.0.11,8.0.1,latest,1,0,major behind: ^6.0.11 vs 8.0.1
package.json,root,claude-code-plugins-monorepo,vitest,^2.0.0,4.1.0,latest,1,0,major behind: ^2.0.0 vs 4.1.0
packages/cli/package.json,package,@intentsolutionsio/ccpi,vitest,^2.0.0,4.1.0,latest,1,0,major behind: ^2.0.0 vs 4.1.0
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,vitest,^3.0.8,4.1.0,latest,1,0,major behind: ^3.0.8 vs 4.1.0
plugins/skill-enhancers/web-to-github-issue/package.json,plugin,web-to-github-issue,vitest,^3.2.4,4.1.0,latest,1,0,major behind: ^3.2.4 vs 4.1.0
tests/e2e/package.json,unknown,@claude-code-plugins/e2e-tests,vitest,^2.0.0,4.1.0,latest,1,0,major behind: ^2.0.0 vs 4.1.0
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,zod,^3.24.2,4.3.6,latest,1,0,major behind: ^3.24.2 vs 4.3.6
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@modelcontextprotocol/sdk,^1.27.1,1.27.1,latest,0,1,current
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@modelcontextprotocol/sdk,^1.0.0,1.27.1,latest,0,0,^1.0.0 vs 1.27.1
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,@modelcontextprotocol/sdk,^1.25.2,1.27.1,latest,0,0,^1.25.2 vs 1.27.1
marketplace/package.json,marketplace,marketplace,@playwright/test,^1.57.0,1.58.2,latest,0,0,^1.57.0 vs 1.58.2
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@slack/socket-mode,^2.0.0,2.0.6,latest,0,0,^2.0.0 vs 2.0.6
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@slack/web-api,^7.0.0,7.15.0,latest,0,0,^7.0.0 vs 7.15.0
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@tailwindcss/postcss,^4.1.18,4.2.2,latest,0,0,^4.1.18 vs 4.2.2
marketplace/package.json,marketplace,marketplace,@tailwindcss/vite,^4.1.18,4.2.2,latest,0,0,^4.1.18 vs 4.2.2
plugins/mcp/pr-to-spec/site/package.json,mcp-plugin,pr-to-spec-site,@tailwindcss/vite,^4.1.18,4.2.2,latest,0,0,^4.1.18 vs 4.2.2
packages/analytics-dashboard/package.json,package,@analytics/dashboard,@tanstack/react-query,^5.62.11,5.94.5,latest,0,0,^5.62.11 vs 5.94.5
plugins/mcp/slack-channel/package.json,mcp-plugin,claude-channel-slack,@types/bun,^1.0.0,1.3.11,latest,0,0,^1.0.0 vs 1.3.11
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/cors,^2.8.17,2.8.19,latest,0,0,^2.8.17 vs 2.8.19
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/express,^5.0.0,5.0.6,latest,0,0,^5.0.0 vs 5.0.6
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@types/express,^5.0.6,5.0.6,latest,0,1,current
packages/cli/package.json,package,@intentsolutionsio/ccpi,@types/fs-extra,^11.0.4,11.0.4,latest,0,1,current
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
plugins/mcp/design-to-code/package.json,mcp-plugin,@claude-code-plugins-plus/design-to-code,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
plugins/mcp/project-health-auditor/package.json,mcp-plugin,@claude-code-plugins-plus/project-health-auditor,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
plugins/mcp/workflow-orchestrator/package.json,mcp-plugin,@claude-code-plugins-plus/workflow-orchestrator,@types/node,^25.0.6,25.5.0,latest,0,0,^25.0.6 vs 25.5.0
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,@types/ws,^8.5.13,8.18.1,latest,0,0,^8.5.13 vs 8.18.1
plugins/mcp/pr-to-spec/package.json,mcp-plugin,pr-to-spec,@vercel/ncc,^0.38.4,0.38.4,latest,0,1,current
plugins/mcp/conversational-api-debugger/package.json,mcp-plugin,@claude-code-plugins-plus/conversational-api-debugger,@vitest/coverage-v8,^4.0.17,4.1.0,latest,0,0,^4.0.17 vs 4.1.0
plugins/mcp/domain-memory-agent/package.json,mcp-plugin,@claude-code-plugins-plus/domain-memory-agent,@vitest/coverage-v8,^4.0.17,4.1.0,latest,0,0,^4.0.17 vs 4.1.0
marketplace/package.json,marketplace,marketplace,archiver,^7.0.1,7.0.1,latest,0,1,current
package.json,root,claude-code-plugins-monorepo,archiver,^7.0.1,7.0.1,latest,0,1,current
packages/analytics-dashboard/package.json,package,@analytics/dashboard,autoprefixer,^10.4.20,10.4.27,latest,0,0,^10.4.20 vs 10.4.27
packages/cli/package.json,package,@intentsolutionsio/ccpi,axios,^1.7.9,1.13.6,latest,0,0,^1.7.9 vs 1.13.6
packages/cli/package.json,package,@intentsolutionsio/ccpi,chalk,^5.3.0,5.6.2,latest,0,0,^5.3.0 vs 5.6.2
packages/analytics-daemon/package.json,package,@claude-code-plugins/analytics-daemon,cors,^2.8.5,2.8.6,latest,0,0,^2.8.5 vs 2.8.6
packages/analytics-dashboard/package.json,package,@analytics/dashboard,date-fns,^4.1.0,4.1.0,latest,0,1,current
plugins/mcp/ai-experiment-logger/package.json,mcp-plugin,@claude-plugins/ai-experiment-logger,express,^5.2.1,5.2.1,latest,0,1,current
functions/package.json,unknown,claude-code-plugins-functions,firebase-admin,^13.0.0,13.7.0,latest,0,0,^13.0.0 vs 13.7.0
