Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
fathom-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Fathom SDK/CLI authentication,"fathom install auth, install and configure fathom sdk/cli authentication",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom install auth in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Fathom example,"fathom hello world, create a minimal working fathom example",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom hello world in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Fathom local development workflow,"fathom local dev loop, configure fathom local development workflow",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Fathom SDK patterns,"fathom sdk patterns, apply production-ready fathom sdk patterns",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Fathom primary workflow,"fathom primary workflow, execute fathom primary workflow",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Fathom core feature integration,"fathom core feature, implement fathom core feature integration",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom core feature in under 15 minutes,true,onboarding,plugins/saas-packs/fathom-pack/skills/fathom-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Fathom common errors,"fathom common errors, diagnose and fix fathom common errors",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom common errors in under 15 minutes,true,operations,plugins/saas-packs/fathom-pack/skills/fathom-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Fathom debug evidence for support,"fathom debug bundle, collect fathom debug evidence for support",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom debug bundle in under 15 minutes,true,operations,plugins/saas-packs/fathom-pack/skills/fathom-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Fathom rate limiting and backoff,"fathom rate limits, implement fathom rate limiting and backoff",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom rate limits in under 15 minutes,true,operations,plugins/saas-packs/fathom-pack/skills/fathom-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
fathom-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Fathom security best practices,"fathom security basics, apply fathom security best practices",Claude Code skill; Fathom SDK; local/cloud development,Working Fathom integration; Tests passing; Documentation updated,Faster Fathom integration; Reduced errors; Team productivity,Complete Fathom security basics in under 15 minutes,true,operations,plugins/saas-packs/fathom-pack/skills/fathom-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
