Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
webflow-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Webflow SDK/CLI authentication,"webflow install auth, install and configure webflow sdk/cli authentication",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow install auth in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Webflow example,"webflow hello world, create a minimal working webflow example",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow hello world in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Webflow local development workflow,"webflow local dev loop, configure webflow local development workflow",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Webflow SDK patterns,"webflow sdk patterns, apply production-ready webflow sdk patterns",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Webflow primary workflow,"webflow primary workflow, execute webflow primary workflow",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow core feature integration,"webflow core feature, implement webflow core feature integration",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow core feature in under 15 minutes,true,onboarding,plugins/saas-packs/webflow-pack/skills/webflow-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Webflow common errors,"webflow common errors, diagnose and fix webflow common errors",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow common errors in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Webflow debug evidence for support,"webflow debug bundle, collect webflow debug evidence for support",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow debug bundle in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow rate limiting and backoff,"webflow rate limits, implement webflow rate limiting and backoff",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow rate limits in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Webflow security best practices,"webflow security basics, apply webflow security best practices",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow security basics in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Webflow production deployment checklist,"webflow prod checklist, execute webflow production deployment checklist",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow prod checklist in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Webflow SDK upgrades,"webflow upgrade migration, plan and execute webflow sdk upgrades",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/webflow-pack/skills/webflow-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Webflow CI/CD integration,"webflow ci integration, configure webflow ci/cd integration",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow ci integration in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Webflow integrations to production,"webflow deploy pipeline, deploy webflow integrations to production",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow webhook handling,"webflow webhooks events, implement webflow webhook handling",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Webflow API performance,"webflow performance tuning, optimize webflow api performance",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Webflow costs and usage,"webflow cost tuning, optimize webflow costs and usage",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow reference architecture,"webflow reference architecture, implement webflow reference architecture",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/webflow-pack/skills/webflow-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-multi-env-setup,"Backend developers, DevOps engineers, Full-stack developers",Configure Webflow multi-environment setup,"webflow multi env setup, configure webflow multi-environment setup",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow multi env setup in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-multi-env-setup/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-observability,"Backend developers, DevOps engineers, Full-stack developers",Set up Webflow monitoring and observability,"webflow observability, set up webflow monitoring and observability",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow observability in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-observability/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-advanced-troubleshooting,"Backend developers, DevOps engineers, Full-stack developers",Apply Webflow advanced debugging,"webflow advanced troubleshooting, apply webflow advanced debugging",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow advanced troubleshooting in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-advanced-troubleshooting/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-load-scale,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow load testing and scaling,"webflow load scale, implement webflow load testing and scaling",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow load scale in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-load-scale/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-reliability-patterns,"Backend developers, DevOps engineers, Full-stack developers",Implement Webflow reliability patterns,"webflow reliability patterns, implement webflow reliability patterns",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow reliability patterns in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-reliability-patterns/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
webflow-known-pitfalls,"Backend developers, DevOps engineers, Full-stack developers",Identify and avoid Webflow anti-patterns,"webflow known pitfalls, identify and avoid webflow anti-patterns",Claude Code skill; Webflow SDK; local/cloud development,Working Webflow integration; Tests passing; Documentation updated,Faster Webflow integration; Reduced errors; Team productivity,Complete Webflow known pitfalls in under 15 minutes,true,enterprise,plugins/saas-packs/webflow-pack/skills/webflow-known-pitfalls/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
