Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
klingai-install-auth,Developer integrating Kling AI,Set up Kling AI API authentication and configure API keys,When starting a new Kling AI integration or troubleshooting auth issues,Kling AI platform and development environment,API key configured and verified with successful test request,Secure and functional authentication enabling video generation,Enable secure API authentication for Kling AI integrations,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-install-auth/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-hello-world,Developer new to Kling AI,Create first video generation with a simple example,When learning Kling AI or testing setup,Development environment with API access,Successfully generate and retrieve a test video,Quick validation of API integration readiness,Generate first AI video to verify integration,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-hello-world/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-model-catalog,Developer evaluating models,Explore Kling AI models and their capabilities,When selecting models or understanding features,Kling AI API documentation and testing,Understanding of model capabilities and selection criteria,Optimal model selection for use case requirements,Select appropriate model for video generation needs,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-model-catalog/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-sdk-patterns,Developer building production apps,Implement common SDK patterns for Kling AI integration,When building production applications,Python or Node.js development environment,Robust client with error handling and retry logic,Production-ready integration with reliable operation,Build maintainable and resilient Kling AI client,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-sdk-patterns/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-text-to-video,Content creator or developer,Generate videos from text prompts with Kling AI,When creating videos from descriptions,Kling AI API with text-to-video endpoint,High-quality video generated from text prompt,Efficient content creation from text descriptions,Master text-to-video generation techniques,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-text-to-video/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-pricing-basics,Developer or project manager,Understand Kling AI pricing credits and cost optimization,When budgeting or optimizing costs,Kling AI account and pricing dashboard,Clear cost estimates and budget tracking,Controlled spending within budget limits,Optimize video generation costs,Yes,onboarding,plugins/saas-packs/klingai-pack/skills/klingai-pricing-basics/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-common-errors,Developer troubleshooting issues,Diagnose and fix common Kling AI API errors,When troubleshooting failed video generation,Development environment with error logs,Identified and resolved API errors,Reduced downtime and faster issue resolution,Quickly resolve common API errors,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-common-errors/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-debug-bundle,Developer investigating issues,Set up comprehensive logging and debugging for Kling AI,When investigating issues or monitoring requests,Development and staging environments,Structured logging with request tracing,Faster debugging and issue identification,Implement effective debugging infrastructure,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-debug-bundle/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-rate-limits,Developer building high-throughput systems,Handle Kling AI rate limits with proper backoff strategies,When experiencing 429 errors or building high-throughput systems,Production systems with rate limiting,Smooth request throughput without rate limit errors,Reliable system operation under load,Handle rate limits gracefully,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-rate-limits/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-job-monitoring,Developer managing multiple jobs,Monitor and track Kling AI video generation jobs,When managing multiple generations or building dashboards,Production monitoring systems,Real-time job status tracking and alerting,Operational visibility into video generation,Track and monitor generation jobs effectively,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-job-monitoring/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-prod-checklist,DevOps engineer or developer,Pre-launch production readiness checklist for Kling AI,When preparing to deploy to production,Production infrastructure,All checklist items verified and passed,Confident production deployment,Ensure production readiness,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-prod-checklist/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-upgrade-migration,Developer upgrading SDK,Migrate and upgrade Kling AI SDK versions safely,When updating dependencies or migrating configurations,Development and staging environments,Successful SDK upgrade with no breaking changes,Maintained stability during upgrades,Safely upgrade to new SDK versions,Yes,operations,plugins/saas-packs/klingai-pack/skills/klingai-upgrade-migration/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-webhook-config,Developer building event-driven systems,Configure webhooks for Kling AI job completion notifications,When building event-driven pipelines,Web server with public HTTPS endpoint,Working webhook receiving real-time notifications,Efficient event-driven video processing,Enable real-time job notifications,Yes,cicd,plugins/saas-packs/klingai-pack/skills/klingai-webhook-config/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-batch-processing,Developer processing multiple videos,Process multiple video generation requests efficiently,When generating multiple videos or building pipelines,Async processing environment,Parallel job submission with progress tracking,Efficient high-volume video generation,Process batch video requests efficiently,Yes,cicd,plugins/saas-packs/klingai-pack/skills/klingai-batch-processing/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-async-workflows,Developer building pipelines,Build asynchronous video generation workflows,When integrating into larger systems or pipelines,Workflow orchestration system,State machine driven workflow processing,Scalable and maintainable video pipelines,Build reliable async video workflows,Yes,cicd,plugins/saas-packs/klingai-pack/skills/klingai-async-workflows/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-storage-integration,Developer storing videos,Integrate Kling AI video output with cloud storage,When storing generated videos in S3 GCS or Azure,Cloud storage provider account,Videos downloaded and stored with signed URLs,Permanent video storage with access control,Store generated videos in cloud storage,Yes,cicd,plugins/saas-packs/klingai-pack/skills/klingai-storage-integration/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
klingai-ci-integration,DevOps engineer,Integrate Kling AI video generation into CI/CD pipelines,When automating video content generation,GitHub Actions or GitLab CI environment,Automated video generation in CI pipeline,Streamlined content production workflow,Automate video generation in CI/CD,Yes,cicd,plugins/saas-packs/klingai-pack/skills/klingai-ci-integration/SKILL.md,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
