id,name,path,pack_name,plugin_name,structure_shape,file_count,has_references,has_scripts,has_assets
1,validating-ai-ethics-and-fairness,plugins/ai-ml/ai-ethics-validator/skills/validating-ai-ethics-and-fairness,ai-ml,ai-ethics-validator,SKILL.md + assets/ + references/ + scripts/,10,1,1,1
2,orchestrating-multi-agent-systems,plugins/ai-ml/ai-sdk-agents/skills/orchestrating-multi-agent-systems,ai-ml,ai-sdk-agents,SKILL.md + assets/ + references/ + scripts/,13,1,1,1
3,detecting-data-anomalies,plugins/ai-ml/anomaly-detection-system/skills/detecting-data-anomalies,ai-ml,anomaly-detection-system,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
4,building-automl-pipelines,plugins/ai-ml/automl-pipeline-builder/skills/building-automl-pipelines,ai-ml,automl-pipeline-builder,SKILL.md + assets/ + references/ + scripts/,11,1,1,1
5,building-classification-models,plugins/ai-ml/classification-model-builder/skills/building-classification-models,ai-ml,classification-model-builder,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
6,running-clustering-algorithms,plugins/ai-ml/clustering-algorithm-runner/skills/running-clustering-algorithms,ai-ml,clustering-algorithm-runner,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
7,processing-computer-vision-tasks,plugins/ai-ml/computer-vision-processor/skills/processing-computer-vision-tasks,ai-ml,computer-vision-processor,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
8,preprocessing-data-with-automated-pipelines,plugins/ai-ml/data-preprocessing-pipeline/skills/preprocessing-data-with-automated-pipelines,ai-ml,data-preprocessing-pipeline,SKILL.md + assets/ + references/ + scripts/,9,1,1,1
9,creating-data-visualizations,plugins/ai-ml/data-visualization-creator/skills/creating-data-visualizations,ai-ml,data-visualization-creator,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
10,splitting-datasets,plugins/ai-ml/dataset-splitter/skills/splitting-datasets,ai-ml,dataset-splitter,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
11,optimizing-deep-learning-models,plugins/ai-ml/deep-learning-optimizer/skills/optimizing-deep-learning-models,ai-ml,deep-learning-optimizer,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
12,setting-up-experiment-tracking,plugins/ai-ml/experiment-tracking-setup/skills/setting-up-experiment-tracking,ai-ml,experiment-tracking-setup,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
13,engineering-features-for-machine-learning,plugins/ai-ml/feature-engineering-toolkit/skills/engineering-features-for-machine-learning,ai-ml,feature-engineering-toolkit,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
14,tuning-hyperparameters,plugins/ai-ml/hyperparameter-tuner/skills/tuning-hyperparameters,ai-ml,hyperparameter-tuner,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
15,adk-deployment-specialist,plugins/ai-ml/jeremy-adk-orchestrator/skills/adk-deployment-specialist,ai-ml,jeremy-adk-orchestrator,SKILL.md + references/ + scripts/,7,1,1,0
16,adk-engineer,plugins/ai-ml/jeremy-adk-software-engineer/skills/adk-engineer,ai-ml,jeremy-adk-software-engineer,SKILL.md + references/ + scripts/,4,1,1,0
17,gcp-examples-expert,plugins/ai-ml/jeremy-gcp-starter-examples/skills/gcp-examples-expert,ai-ml,jeremy-gcp-starter-examples,SKILL.md + references/ + scripts/,8,1,1,0
18,genkit-production-expert,plugins/ai-ml/jeremy-genkit-pro/skills/genkit-production-expert,ai-ml,jeremy-genkit-pro,SKILL.md + references/ + scripts/,7,1,1,0
19,vertex-engine-inspector,plugins/ai-ml/jeremy-vertex-engine/skills/vertex-engine-inspector,ai-ml,jeremy-vertex-engine,SKILL.md + references/ + scripts/,8,1,1,0
20,validator-expert,plugins/ai-ml/jeremy-vertex-validator/skills/validator-expert,ai-ml,jeremy-vertex-validator,SKILL.md + references/ + scripts/,5,1,1,0
21,training-machine-learning-models,plugins/ai-ml/ml-model-trainer/skills/training-machine-learning-models,ai-ml,ml-model-trainer,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
22,deploying-machine-learning-models,plugins/ai-ml/model-deployment-helper/skills/deploying-machine-learning-models,ai-ml,model-deployment-helper,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
23,evaluating-machine-learning-models,plugins/ai-ml/model-evaluation-suite/skills/evaluating-machine-learning-models,ai-ml,model-evaluation-suite,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
24,explaining-machine-learning-models,plugins/ai-ml/model-explainability-tool/skills/explaining-machine-learning-models,ai-ml,model-explainability-tool,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
25,tracking-model-versions,plugins/ai-ml/model-versioning-tracker/skills/tracking-model-versions,ai-ml,model-versioning-tracker,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
26,building-neural-networks,plugins/ai-ml/neural-network-builder/skills/building-neural-networks,ai-ml,neural-network-builder,SKILL.md + assets/ + references/ + scripts/,4,1,1,1
27,analyzing-text-with-nlp,plugins/ai-ml/nlp-text-analyzer/skills/analyzing-text-with-nlp,ai-ml,nlp-text-analyzer,SKILL.md + assets/ + references/ + scripts/,8,1,1,1
28,ollama-setup,plugins/ai-ml/ollama-local-ai/skills/ollama-setup,ai-ml,ollama-local-ai,SKILL.md + references/,4,1,0,0
29,building-recommendation-systems,plugins/ai-ml/recommendation-engine/skills/building-recommendation-systems,ai-ml,recommendation-engine,SKILL.md + assets/ + references/ + scripts/,5,1,1,1
30,performing-regression-analysis,plugins/ai-ml/regression-analysis-tool/skills/performing-regression-analysis,ai-ml,regression-analysis-tool,SKILL.md + assets/ + references/ + scripts/,9,1,1,1
31,analyzing-text-sentiment,plugins/ai-ml/sentiment-analysis-tool/skills/analyzing-text-sentiment,ai-ml,sentiment-analysis-tool,SKILL.md + assets/ + references/ + scripts/,6,1,1,1
32,forecasting-time-series-data,plugins/ai-ml/time-series-forecaster/skills/forecasting-time-series-data,ai-ml,time-series-forecaster,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
33,adapting-transfer-learning-models,plugins/ai-ml/transfer-learning-adapter/skills/adapting-transfer-learning-models,ai-ml,transfer-learning-adapter,SKILL.md + assets/ + references/ + scripts/,7,1,1,1
34,building-api-authentication,plugins/api-development/api-authentication-builder/skills/building-api-authentication,api-development,api-authentication-builder,SKILL.md + references/,4,1,0,0
35,processing-api-batches,plugins/api-development/api-batch-processor/skills/processing-api-batches,api-development,api-batch-processor,SKILL.md + references/,4,1,0,0
36,managing-api-cache,plugins/api-development/api-cache-manager/skills/managing-api-cache,api-development,api-cache-manager,SKILL.md + references/,4,1,0,0
37,generating-api-contracts,plugins/api-development/api-contract-generator/skills/generating-api-contracts,api-development,api-contract-generator,SKILL.md + references/ + scripts/,5,1,1,0
38,generating-api-docs,plugins/api-development/api-documentation-generator/skills/generating-api-docs,api-development,api-documentation-generator,SKILL.md + references/,4,1,0,0
39,handling-api-errors,plugins/api-development/api-error-handler/skills/handling-api-errors,api-development,api-error-handler,SKILL.md + references/,4,1,0,0
40,emitting-api-events,plugins/api-development/api-event-emitter/skills/emitting-api-events,api-development,api-event-emitter,SKILL.md + references/,4,1,0,0
41,building-api-gateway,plugins/api-development/api-gateway-builder/skills/building-api-gateway,api-development,api-gateway-builder,SKILL.md + references/,4,1,0,0
42,load-testing-apis,plugins/api-development/api-load-tester/skills/load-testing-apis,api-development,api-load-tester,SKILL.md + references/,4,1,0,0
43,migrating-apis,plugins/api-development/api-migration-tool/skills/migrating-apis,api-development,api-migration-tool,SKILL.md + references/,4,1,0,0
44,mocking-apis,plugins/api-development/api-mock-server/skills/mocking-apis,api-development,api-mock-server,SKILL.md + references/,4,1,0,0
45,monitoring-apis,plugins/api-development/api-monitoring-dashboard/skills/monitoring-apis,api-development,api-monitoring-dashboard,SKILL.md + references/,4,1,0,0
46,rate-limiting-apis,plugins/api-development/api-rate-limiter/skills/rate-limiting-apis,api-development,api-rate-limiter,SKILL.md + references/,4,1,0,0
47,logging-api-requests,plugins/api-development/api-request-logger/skills/logging-api-requests,api-development,api-request-logger,SKILL.md + references/,4,1,0,0
48,validating-api-responses,plugins/api-development/api-response-validator/skills/validating-api-responses,api-development,api-response-validator,SKILL.md + references/,4,1,0,0
49,validating-api-schemas,plugins/api-development/api-schema-validator/skills/validating-api-schemas,api-development,api-schema-validator,SKILL.md + references/ + scripts/,5,1,1,0
50,generating-api-sdks,plugins/api-development/api-sdk-generator/skills/generating-api-sdks,api-development,api-sdk-generator,SKILL.md + references/,4,1,0,0
51,scanning-api-security,plugins/api-development/api-security-scanner/skills/scanning-api-security,api-development,api-security-scanner,SKILL.md + references/,4,1,0,0
52,throttling-apis,plugins/api-development/api-throttling-manager/skills/throttling-apis,api-development,api-throttling-manager,SKILL.md + references/,4,1,0,0
53,versioning-apis,plugins/api-development/api-versioning-manager/skills/versioning-apis,api-development,api-versioning-manager,SKILL.md + references/,4,1,0,0
54,building-graphql-server,plugins/api-development/graphql-server-builder/skills/building-graphql-server,api-development,graphql-server-builder,SKILL.md + references/,4,1,0,0
55,generating-grpc-services,plugins/api-development/grpc-service-generator/skills/generating-grpc-services,api-development,grpc-service-generator,SKILL.md + references/,4,1,0,0
56,generating-rest-apis,plugins/api-development/rest-api-generator/skills/generating-rest-apis,api-development,rest-api-generator,SKILL.md + references/,4,1,0,0
