id,field_name,source,data_type,found_in_count,found_in_total,value_patterns,example,validated_by,notes
1,allowed-tools,SKILL.md frontmatter,list/string,1421,1426,"free text: AskUserQuestion, Read, Read, Bash(cmd:*), Grep, Glob, Read, Bash(crypto:news-*), Read, Bash(crypto:sentiment-*)",AskUserQuestion,validate-skills-schema.py,
2,argument-hint,SKILL.md frontmatter,list/string,19,1426,"enum-like: <agent-name or project-id>, <bot-token> <app-token>, <plugin-directory-path>, <project-id> <agent-engine-id> [location], ['assumption or experiment']",<agent-name or project-id>,validate-skills-schema.py,
3,author,SKILL.md frontmatter,string,1421,1426,"enum-like: Ahmed Khaled Mohamed <ahmd.khaled.a.mohamed@gmail., B12.io <support@b12.io>, Bayram Annakov <bayram.annakov@gmail.com>, Claude Code Plugins <plugins@claudecodeplugins.io>, Damien Laine <damien.laine@gmail.com>",Ahmed Khaled Mohamed <ahmd.khaled.a.mohamed@gmail.com>,validate-skills-schema.py,
4,compatible-with,SKILL.md frontmatter,string,1405,1426,"enum-like: claude-code, claude-code, codex, claude-code, codex, openclaw, claude-code, cursor, windsurf, aider, continue",claude-code,validate-skills-schema.py,
5,description,SKILL.md frontmatter,string,1426,1426,"free text: A 7-part brand strategy framework for building com, Analyze budget vs actual variances in Excel with d, Analyze datasets by running clustering algorithms , Analyze what customers truly need by discovering t, Apply the six principles of ethical persuasion (re","A 7-part brand strategy framework for building comprehensive brand foundations.
Trigger with phrases",validate-skills-schema.py,
6,effort,SKILL.md frontmatter,string,6,1426,"enum-like: high, medium",high,validate-skills-schema.py,
7,license,SKILL.md frontmatter,string,1421,1426,"enum-like: Apache-2.0, MIT",Apache-2.0,validate-skills-schema.py,
8,model,SKILL.md frontmatter,string,2,1426,enum-like: inherit,inherit,validate-skills-schema.py,
9,name,SKILL.md frontmatter,string,1426,1426,"free text: action-items-todoist, adapting-transfer-learning-models, adk-deployment-specialist, adk-engineer, agent-patterns",action-items-todoist,validate-skills-schema.py,
10,tags,SKILL.md frontmatter,list,44,1426,"enum-like: ['box', 'cloud-storage', 'filesystem', 'sync', 'co, ['calendar', 'automation', 'meetings', 'productivi, ['code-generation', 'requirements', 'automation', , ['deployment', 'infrastructure', 'automation', 'de, ['github', 'git', 'beginner', 'intermediate', 'adv","['box', 'cloud-storage', 'filesystem', 'sync', 'collaboration', 'document-management']",validate-skills-schema.py,
11,user-invocable,SKILL.md frontmatter,boolean,3,1426,enum-like: True,True,validate-skills-schema.py,
12,version,SKILL.md frontmatter,string,1421,1426,"enum-like: 0.1.0, 1.0.0, 1.0.1, 1.1.0, 1.4.1",0.1.0,validate-skills-schema.py,
13,author,plugin.json,object/string,349,349,"Jeremy Longshore, Jeremy Longshore <jeremy@intentsolutions.io>, Rowan Brooks (@rowanbrooks100), Wondel.ai, builtbyzac",Jeremy Longshore,validate-all-plugins.sh / validate-plugin.js,
