Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
abridge-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Abridge SDK/CLI authentication,"abridge install auth, install and configure abridge sdk/cli authentication",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge install auth in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Abridge example,"abridge hello world, create a minimal working abridge example",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge hello world in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Abridge local development workflow,"abridge local dev loop, configure abridge local development workflow",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Abridge SDK patterns,"abridge sdk patterns, apply production-ready abridge sdk patterns",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Abridge primary workflow,"abridge primary workflow, execute abridge primary workflow",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Abridge core feature integration,"abridge core feature, implement abridge core feature integration",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge core feature in under 15 minutes,true,onboarding,plugins/saas-packs/abridge-pack/skills/abridge-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Abridge common errors,"abridge common errors, diagnose and fix abridge common errors",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge common errors in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Abridge debug evidence for support,"abridge debug bundle, collect abridge debug evidence for support",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge debug bundle in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Abridge rate limiting and backoff,"abridge rate limits, implement abridge rate limiting and backoff",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge rate limits in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Abridge security best practices,"abridge security basics, apply abridge security best practices",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge security basics in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Abridge production deployment checklist,"abridge prod checklist, execute abridge production deployment checklist",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge prod checklist in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Abridge SDK upgrades,"abridge upgrade migration, plan and execute abridge sdk upgrades",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/abridge-pack/skills/abridge-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Abridge CI/CD integration,"abridge ci integration, configure abridge ci/cd integration",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge ci integration in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Abridge integrations to production,"abridge deploy pipeline, deploy abridge integrations to production",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Abridge webhook handling,"abridge webhooks events, implement abridge webhook handling",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Abridge API performance,"abridge performance tuning, optimize abridge api performance",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Abridge costs and usage,"abridge cost tuning, optimize abridge costs and usage",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
abridge-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Abridge reference architecture,"abridge reference architecture, implement abridge reference architecture",Claude Code skill; Abridge SDK; local/cloud development,Working Abridge integration; Tests passing; Documentation updated,Faster Abridge integration; Reduced errors; Team productivity,Complete Abridge reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/abridge-pack/skills/abridge-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
