Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
anima-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Anima SDK/CLI authentication,"anima install auth, install and configure anima sdk/cli authentication",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima install auth in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Anima example,"anima hello world, create a minimal working anima example",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima hello world in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Anima local development workflow,"anima local dev loop, configure anima local development workflow",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Anima SDK patterns,"anima sdk patterns, apply production-ready anima sdk patterns",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Anima primary workflow,"anima primary workflow, execute anima primary workflow",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Anima core feature integration,"anima core feature, implement anima core feature integration",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima core feature in under 15 minutes,true,onboarding,plugins/saas-packs/anima-pack/skills/anima-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Anima common errors,"anima common errors, diagnose and fix anima common errors",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima common errors in under 15 minutes,true,operations,plugins/saas-packs/anima-pack/skills/anima-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Anima debug evidence for support,"anima debug bundle, collect anima debug evidence for support",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima debug bundle in under 15 minutes,true,operations,plugins/saas-packs/anima-pack/skills/anima-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Anima rate limiting and backoff,"anima rate limits, implement anima rate limiting and backoff",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima rate limits in under 15 minutes,true,operations,plugins/saas-packs/anima-pack/skills/anima-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Anima security best practices,"anima security basics, apply anima security best practices",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima security basics in under 15 minutes,true,operations,plugins/saas-packs/anima-pack/skills/anima-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
anima-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Anima production deployment checklist,"anima prod checklist, execute anima production deployment checklist",Claude Code skill; Anima SDK; local/cloud development,Working Anima integration; Tests passing; Documentation updated,Faster Anima integration; Reduced errors; Team productivity,Complete Anima prod checklist in under 15 minutes,true,operations,plugins/saas-packs/anima-pack/skills/anima-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
