Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
clickhouse-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure ClickHouse SDK/CLI authentication,"clickhouse install auth, install and configure clickhouse sdk/cli authentication",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse install auth in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working ClickHouse example,"clickhouse hello world, create a minimal working clickhouse example",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse hello world in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure ClickHouse local development workflow,"clickhouse local dev loop, configure clickhouse local development workflow",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready ClickHouse SDK patterns,"clickhouse sdk patterns, apply production-ready clickhouse sdk patterns",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute ClickHouse primary workflow,"clickhouse primary workflow, execute clickhouse primary workflow",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement ClickHouse core feature integration,"clickhouse core feature, implement clickhouse core feature integration",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse core feature in under 15 minutes,true,onboarding,plugins/saas-packs/clickhouse-pack/skills/clickhouse-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix ClickHouse common errors,"clickhouse common errors, diagnose and fix clickhouse common errors",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse common errors in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect ClickHouse debug evidence for support,"clickhouse debug bundle, collect clickhouse debug evidence for support",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse debug bundle in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement ClickHouse rate limiting and backoff,"clickhouse rate limits, implement clickhouse rate limiting and backoff",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse rate limits in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply ClickHouse security best practices,"clickhouse security basics, apply clickhouse security best practices",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse security basics in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute ClickHouse production deployment checklist,"clickhouse prod checklist, execute clickhouse production deployment checklist",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse prod checklist in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickhouse-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute ClickHouse SDK upgrades,"clickhouse upgrade migration, plan and execute clickhouse sdk upgrades",Claude Code skill; ClickHouse SDK; local/cloud development,Working ClickHouse integration; Tests passing; Documentation updated,Faster ClickHouse integration; Reduced errors; Team productivity,Complete ClickHouse upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/clickhouse-pack/skills/clickhouse-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
