Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
hex-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Hex SDK/CLI authentication,"hex install auth, install and configure hex sdk/cli authentication",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex install auth in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Hex example,"hex hello world, create a minimal working hex example",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex hello world in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Hex local development workflow,"hex local dev loop, configure hex local development workflow",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Hex SDK patterns,"hex sdk patterns, apply production-ready hex sdk patterns",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Hex primary workflow,"hex primary workflow, execute hex primary workflow",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Hex core feature integration,"hex core feature, implement hex core feature integration",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex core feature in under 15 minutes,true,onboarding,plugins/saas-packs/hex-pack/skills/hex-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Hex common errors,"hex common errors, diagnose and fix hex common errors",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex common errors in under 15 minutes,true,operations,plugins/saas-packs/hex-pack/skills/hex-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Hex debug evidence for support,"hex debug bundle, collect hex debug evidence for support",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex debug bundle in under 15 minutes,true,operations,plugins/saas-packs/hex-pack/skills/hex-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Hex rate limiting and backoff,"hex rate limits, implement hex rate limiting and backoff",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex rate limits in under 15 minutes,true,operations,plugins/saas-packs/hex-pack/skills/hex-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
hex-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Hex security best practices,"hex security basics, apply hex security best practices",Claude Code skill; Hex SDK; local/cloud development,Working Hex integration; Tests passing; Documentation updated,Faster Hex integration; Reduced errors; Team productivity,Complete Hex security basics in under 15 minutes,true,operations,plugins/saas-packs/hex-pack/skills/hex-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
