Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
salesloft-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Salesloft SDK/CLI authentication,"salesloft install auth, install and configure salesloft sdk/cli authentication",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft install auth in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Salesloft example,"salesloft hello world, create a minimal working salesloft example",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft hello world in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Salesloft local development workflow,"salesloft local dev loop, configure salesloft local development workflow",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Salesloft SDK patterns,"salesloft sdk patterns, apply production-ready salesloft sdk patterns",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Salesloft primary workflow,"salesloft primary workflow, execute salesloft primary workflow",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesloft core feature integration,"salesloft core feature, implement salesloft core feature integration",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft core feature in under 15 minutes,true,onboarding,plugins/saas-packs/salesloft-pack/skills/salesloft-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Salesloft common errors,"salesloft common errors, diagnose and fix salesloft common errors",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft common errors in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Salesloft debug evidence for support,"salesloft debug bundle, collect salesloft debug evidence for support",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft debug bundle in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesloft rate limiting and backoff,"salesloft rate limits, implement salesloft rate limiting and backoff",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft rate limits in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Salesloft security best practices,"salesloft security basics, apply salesloft security best practices",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft security basics in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Salesloft production deployment checklist,"salesloft prod checklist, execute salesloft production deployment checklist",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft prod checklist in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Salesloft SDK upgrades,"salesloft upgrade migration, plan and execute salesloft sdk upgrades",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/salesloft-pack/skills/salesloft-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Salesloft CI/CD integration,"salesloft ci integration, configure salesloft ci/cd integration",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft ci integration in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Salesloft integrations to production,"salesloft deploy pipeline, deploy salesloft integrations to production",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesloft webhook handling,"salesloft webhooks events, implement salesloft webhook handling",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Salesloft API performance,"salesloft performance tuning, optimize salesloft api performance",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Salesloft costs and usage,"salesloft cost tuning, optimize salesloft costs and usage",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
salesloft-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Salesloft reference architecture,"salesloft reference architecture, implement salesloft reference architecture",Claude Code skill; Salesloft SDK; local/cloud development,Working Salesloft integration; Tests passing; Documentation updated,Faster Salesloft integration; Reduced errors; Team productivity,Complete Salesloft reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/salesloft-pack/skills/salesloft-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
