Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
finta-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Finta SDK/CLI authentication,"finta install auth, install and configure finta sdk/cli authentication",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta install auth in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Finta example,"finta hello world, create a minimal working finta example",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta hello world in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Finta local development workflow,"finta local dev loop, configure finta local development workflow",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Finta SDK patterns,"finta sdk patterns, apply production-ready finta sdk patterns",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Finta primary workflow,"finta primary workflow, execute finta primary workflow",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Finta core feature integration,"finta core feature, implement finta core feature integration",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta core feature in under 15 minutes,true,onboarding,plugins/saas-packs/finta-pack/skills/finta-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Finta common errors,"finta common errors, diagnose and fix finta common errors",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta common errors in under 15 minutes,true,operations,plugins/saas-packs/finta-pack/skills/finta-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Finta debug evidence for support,"finta debug bundle, collect finta debug evidence for support",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta debug bundle in under 15 minutes,true,operations,plugins/saas-packs/finta-pack/skills/finta-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Finta rate limiting and backoff,"finta rate limits, implement finta rate limiting and backoff",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta rate limits in under 15 minutes,true,operations,plugins/saas-packs/finta-pack/skills/finta-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
finta-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Finta security best practices,"finta security basics, apply finta security best practices",Claude Code skill; Finta SDK; local/cloud development,Working Finta integration; Tests passing; Documentation updated,Faster Finta integration; Reduced errors; Team productivity,Complete Finta security basics in under 15 minutes,true,operations,plugins/saas-packs/finta-pack/skills/finta-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
