Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
sentry-install-auth,"Backend developers, DevOps engineers, SREs","Install and configure Sentry SDK authentication with DSN setup and initialization","install sentry, setup sentry, sentry auth, configure sentry DSN","Claude Code skill; Sentry SDK; application monitoring","Installed SDK package, environment variable or .env file with DSN, Sentry initialized and ready to capture errors","Reduced time to first error tracking, standardized monitoring setup","Enable error tracking within 15 minutes of starting setup",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-hello-world,"Backend developers, Frontend developers, QA engineers","Capture first error with Sentry and verify it appears in the dashboard","test sentry, sentry hello world, verify sentry, first sentry error","Claude Code skill; Sentry SDK; application monitoring","Test error visible in Sentry dashboard, event contains stack trace and metadata, user context and tags attached","Validated error tracking pipeline, confidence in monitoring setup","Successfully capture and view first test error in Sentry dashboard",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-hello-world/,"Read, Write, Edit, Bash(node:*), Bash(python:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-local-dev-loop,"Backend developers, Frontend developers","Set up local development workflow with Sentry including debug mode and testing","sentry local dev, sentry development, debug sentry, sentry dev environment","Claude Code skill; Sentry SDK; application monitoring","Environment-aware Sentry configuration, debug logging enabled for development, separate project/DSN for development events","Faster development iteration, reduced noise in production monitoring","Configure development environment with appropriate Sentry settings",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-sdk-patterns,"Backend developers, Senior engineers, Tech leads","Best practices for using Sentry SDK in TypeScript and Python with code patterns","sentry best practices, sentry patterns, sentry sdk usage, sentry code structure","Claude Code skill; Sentry SDK; application monitoring","Clean maintainable error handling code, consistent error context across application, efficient Sentry SDK usage","Improved code quality, standardized error handling patterns","Implement production-ready SDK patterns for error handling",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-sdk-patterns/,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-error-capture,"Backend developers, Frontend developers","Advanced error capture and context enrichment with Sentry including tags and breadcrumbs","sentry error capture, sentry context, enrich sentry errors, sentry exception handling","Claude Code skill; Sentry SDK; application monitoring","Errors with full context in Sentry dashboard, filterable tags for issue management, user attribution for error tracking","Better error diagnosis, faster incident resolution, improved user support","Implement comprehensive error capture with rich context",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-error-capture/,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-performance-tracing,"Backend developers, Performance engineers, SREs","Set up performance monitoring and distributed tracing with Sentry","sentry performance, sentry tracing, sentry APM, monitor performance sentry","Claude Code skill; Sentry SDK; application monitoring","Performance data visible in Sentry Performance dashboard, distributed traces across services, span breakdowns for bottleneck identification","Proactive performance optimization, reduced latency issues, better user experience","Enable performance monitoring with appropriate sampling rates",true,onboarding,plugins/saas-packs/sentry-pack/skills/sentry-performance-tracing/,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-common-errors,"Backend developers, DevOps engineers, Support engineers","Troubleshoot common Sentry integration issues and fixes","sentry not working, sentry errors missing, fix sentry, sentry troubleshoot","Claude Code skill; Sentry SDK; application monitoring","Identified and resolved common issues, working Sentry integration, documented solutions","Reduced support time, faster issue resolution, improved monitoring reliability","Diagnose and fix common Sentry integration problems",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-common-errors/,"Read, Grep, Bash(npm:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-debug-bundle,"DevOps engineers, Support engineers, SREs","Collect debug information for Sentry support tickets","sentry debug info, sentry support ticket, gather sentry diagnostics, sentry debug bundle","Claude Code skill; Sentry SDK; application monitoring","Comprehensive debug bundle with SDK version, configuration, connectivity test, and capture results","Faster support resolution, better communication with Sentry support, reduced troubleshooting time","Generate complete diagnostic bundle for support requests",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-debug-bundle/,"Read, Bash(npm:*), Bash(node:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-rate-limits,"Backend developers, DevOps engineers, FinOps engineers","Manage Sentry rate limits and quota optimization","sentry rate limit, sentry quota, reduce sentry events, sentry 429","Claude Code skill; Sentry SDK; application monitoring","Reduced event volume, optimized sampling rates, no rate limit issues","Cost control, predictable billing, maintained monitoring coverage","Implement rate limit management without losing critical error visibility",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-rate-limits/,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-security-basics,"Security engineers, DevOps engineers, Compliance officers","Configure Sentry security settings and data protection including PII scrubbing","sentry security, sentry PII, sentry data scrubbing, secure sentry","Claude Code skill; Sentry SDK; application monitoring","Data scrubbing enabled, sensitive field patterns configured, security checklist completed","GDPR/HIPAA compliance, reduced data breach risk, improved security posture","Configure secure Sentry integration with proper data handling",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-security-basics/,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-prod-checklist,"DevOps engineers, SREs, Release managers","Production deployment checklist for Sentry integration","sentry production, deploy sentry, sentry checklist, sentry go-live","Claude Code skill; Sentry SDK; application monitoring","All checklist items verified, source maps uploaded, alerts configured, security settings enabled","Smooth production deployment, reduced post-deploy issues, complete monitoring coverage","Complete production-readiness verification before deployment",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-prod-checklist/,"Read, Grep, Bash(npm:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
sentry-upgrade-migration,"Backend developers, DevOps engineers","Upgrade Sentry SDK and migrate between versions","upgrade sentry, sentry migration, update sentry sdk, sentry breaking changes","Claude Code skill; Sentry SDK; application monitoring","Successfully upgraded SDK, handled breaking changes, verified functionality post-upgrade","Maintained monitoring during upgrade, access to new features, improved stability","Complete SDK upgrade with zero monitoring downtime",true,operations,plugins/saas-packs/sentry-pack/skills/sentry-upgrade-migration/,"Read, Write, Edit, Bash(npm:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
