Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
granola-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Granola SDK/CLI authentication,"granola install auth, install and configure granola sdk/cli authentication",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola install auth in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Granola example,"granola hello world, create a minimal working granola example",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola hello world in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Granola local development workflow,"granola local dev loop, configure granola local development workflow",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Granola SDK patterns,"granola sdk patterns, apply production-ready granola sdk patterns",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Granola primary workflow,"granola primary workflow, execute granola primary workflow",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola core feature integration,"granola core feature, implement granola core feature integration",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola core feature in under 15 minutes,true,onboarding,plugins/saas-packs/granola-pack/skills/granola-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Granola common errors,"granola common errors, diagnose and fix granola common errors",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola common errors in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Granola debug evidence for support,"granola debug bundle, collect granola debug evidence for support",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola debug bundle in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola rate limiting and backoff,"granola rate limits, implement granola rate limiting and backoff",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola rate limits in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Granola security best practices,"granola security basics, apply granola security best practices",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola security basics in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Granola production deployment checklist,"granola prod checklist, execute granola production deployment checklist",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola prod checklist in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Granola SDK upgrades,"granola upgrade migration, plan and execute granola sdk upgrades",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/granola-pack/skills/granola-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Granola CI/CD integration,"granola ci integration, configure granola ci/cd integration",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola ci integration in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Granola integrations to production,"granola deploy pipeline, deploy granola integrations to production",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola webhook handling,"granola webhooks events, implement granola webhook handling",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Granola API performance,"granola performance tuning, optimize granola api performance",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Granola costs and usage,"granola cost tuning, optimize granola costs and usage",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola reference architecture,"granola reference architecture, implement granola reference architecture",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/granola-pack/skills/granola-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-multi-env-setup,"Backend developers, DevOps engineers, Full-stack developers",Configure Granola multi-environment setup,"granola multi env setup, configure granola multi-environment setup",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola multi env setup in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-multi-env-setup/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-observability,"Backend developers, DevOps engineers, Full-stack developers",Set up Granola monitoring and observability,"granola observability, set up granola monitoring and observability",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola observability in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-observability/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-advanced-troubleshooting,"Backend developers, DevOps engineers, Full-stack developers",Apply Granola advanced debugging,"granola advanced troubleshooting, apply granola advanced debugging",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola advanced troubleshooting in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-advanced-troubleshooting/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-load-scale,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola load testing and scaling,"granola load scale, implement granola load testing and scaling",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola load scale in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-load-scale/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-reliability-patterns,"Backend developers, DevOps engineers, Full-stack developers",Implement Granola reliability patterns,"granola reliability patterns, implement granola reliability patterns",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola reliability patterns in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-reliability-patterns/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
granola-known-pitfalls,"Backend developers, DevOps engineers, Full-stack developers",Identify and avoid Granola anti-patterns,"granola known pitfalls, identify and avoid granola anti-patterns",Claude Code skill; Granola SDK; local/cloud development,Working Granola integration; Tests passing; Documentation updated,Faster Granola integration; Reduced errors; Team productivity,Complete Granola known pitfalls in under 15 minutes,true,enterprise,plugins/saas-packs/granola-pack/skills/granola-known-pitfalls/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
