Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
serpapi-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure SerpApi SDK/CLI authentication,"serpapi install auth, install and configure serpapi sdk/cli authentication",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi install auth in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working SerpApi example,"serpapi hello world, create a minimal working serpapi example",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi hello world in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure SerpApi local development workflow,"serpapi local dev loop, configure serpapi local development workflow",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready SerpApi SDK patterns,"serpapi sdk patterns, apply production-ready serpapi sdk patterns",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute SerpApi primary workflow,"serpapi primary workflow, execute serpapi primary workflow",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement SerpApi core feature integration,"serpapi core feature, implement serpapi core feature integration",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi core feature in under 15 minutes,true,onboarding,plugins/saas-packs/serpapi-pack/skills/serpapi-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix SerpApi common errors,"serpapi common errors, diagnose and fix serpapi common errors",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi common errors in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect SerpApi debug evidence for support,"serpapi debug bundle, collect serpapi debug evidence for support",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi debug bundle in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement SerpApi rate limiting and backoff,"serpapi rate limits, implement serpapi rate limiting and backoff",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi rate limits in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply SerpApi security best practices,"serpapi security basics, apply serpapi security best practices",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi security basics in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute SerpApi production deployment checklist,"serpapi prod checklist, execute serpapi production deployment checklist",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi prod checklist in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute SerpApi SDK upgrades,"serpapi upgrade migration, plan and execute serpapi sdk upgrades",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/serpapi-pack/skills/serpapi-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure SerpApi CI/CD integration,"serpapi ci integration, configure serpapi ci/cd integration",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi ci integration in under 15 minutes,true,cicd,plugins/saas-packs/serpapi-pack/skills/serpapi-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy SerpApi integrations to production,"serpapi deploy pipeline, deploy serpapi integrations to production",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/serpapi-pack/skills/serpapi-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement SerpApi webhook handling,"serpapi webhooks events, implement serpapi webhook handling",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/serpapi-pack/skills/serpapi-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize SerpApi API performance,"serpapi performance tuning, optimize serpapi api performance",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/serpapi-pack/skills/serpapi-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
serpapi-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize SerpApi costs and usage,"serpapi cost tuning, optimize serpapi costs and usage",Claude Code skill; SerpApi SDK; local/cloud development,Working SerpApi integration; Tests passing; Documentation updated,Faster SerpApi integration; Reduced errors; Team productivity,Complete SerpApi cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/serpapi-pack/skills/serpapi-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
