Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
oraclecloud-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Oracle Cloud SDK/CLI authentication,"oraclecloud install auth, install and configure oracle cloud sdk/cli authentication",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud install auth in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Oracle Cloud example,"oraclecloud hello world, create a minimal working oracle cloud example",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud hello world in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Oracle Cloud local development workflow,"oraclecloud local dev loop, configure oracle cloud local development workflow",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Oracle Cloud SDK patterns,"oraclecloud sdk patterns, apply production-ready oracle cloud sdk patterns",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Oracle Cloud primary workflow,"oraclecloud primary workflow, execute oracle cloud primary workflow",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Oracle Cloud core feature integration,"oraclecloud core feature, implement oracle cloud core feature integration",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud core feature in under 15 minutes,true,onboarding,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Oracle Cloud common errors,"oraclecloud common errors, diagnose and fix oracle cloud common errors",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud common errors in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Oracle Cloud debug evidence for support,"oraclecloud debug bundle, collect oracle cloud debug evidence for support",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud debug bundle in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Oracle Cloud rate limiting and backoff,"oraclecloud rate limits, implement oracle cloud rate limiting and backoff",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud rate limits in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Oracle Cloud security best practices,"oraclecloud security basics, apply oracle cloud security best practices",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud security basics in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Oracle Cloud production deployment checklist,"oraclecloud prod checklist, execute oracle cloud production deployment checklist",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud prod checklist in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Oracle Cloud SDK upgrades,"oraclecloud upgrade migration, plan and execute oracle cloud sdk upgrades",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Oracle Cloud CI/CD integration,"oraclecloud ci integration, configure oracle cloud ci/cd integration",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud ci integration in under 15 minutes,true,cicd,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Oracle Cloud integrations to production,"oraclecloud deploy pipeline, deploy oracle cloud integrations to production",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Oracle Cloud webhook handling,"oraclecloud webhooks events, implement oracle cloud webhook handling",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
oraclecloud-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Oracle Cloud API performance,"oraclecloud performance tuning, optimize oracle cloud api performance",Claude Code skill; Oracle Cloud SDK; local/cloud development,Working Oracle Cloud integration; Tests passing; Documentation updated,Faster Oracle Cloud integration; Reduced errors; Team productivity,Complete Oracle Cloud performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/oraclecloud-pack/skills/oraclecloud-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
