Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
coderabbit-install-auth,"DevOps engineers, platform engineers, developers setting up CodeRabbit","Install CodeRabbit and configure authentication with GitHub/GitLab OAuth or API tokens","When first integrating CodeRabbit into a repository or organization","GitHub/GitLab repository settings, CodeRabbit dashboard, CI environment variables","CodeRabbit app installed with valid OAuth token, webhook configured, test PR receives automated review within 5 minutes","Reduced manual code review burden by 60%, consistent review coverage across all PRs","Enable AI-powered code review for all pull requests with proper authentication flow","true",Onboarding,coderabbit-install-auth,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-hello-world,"New CodeRabbit users, developers learning the platform","Create first PR with CodeRabbit review, understand review comments and feedback loop","When onboarding to CodeRabbit or demonstrating to team","Any repository with CodeRabbit installed, PR creation workflow","First PR reviewed by CodeRabbit within 2 minutes, at least 3 actionable comments received, developer can respond to comments","Team understands CodeRabbit value proposition, adoption decision accelerated","Successfully complete first AI code review cycle end-to-end","true",Onboarding,coderabbit-hello-world,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-local-dev-loop,"Developers wanting faster feedback, teams optimizing review cycles","Configure local development environment to get CodeRabbit-like feedback before pushing","During active development before creating PRs","Local IDE, pre-commit hooks, CodeRabbit CLI (if available)","Pre-push validation catches 80% of issues CodeRabbit would flag, local feedback in under 30 seconds","Faster PR merge times, reduced review iteration cycles by 40%","Shift-left code quality feedback to developer workstation","true",Onboarding,coderabbit-local-dev-loop,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-common-errors,"Developers troubleshooting CodeRabbit, support engineers","Diagnose and fix common CodeRabbit integration errors including webhook failures and auth issues","When CodeRabbit stops reviewing PRs, comments fail to post, or reviews are incomplete","CodeRabbit logs, GitHub/GitLab webhook delivery logs, repository settings","Error identified within 5 minutes, fix applied and verified, review functionality restored","Minimized downtime for code review automation, reduced support ticket volume by 70%","Quickly resolve integration issues to maintain continuous code review","true",Onboarding,coderabbit-common-errors,"Read, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-known-pitfalls,"Teams scaling CodeRabbit, architects planning rollout","Understand and avoid common CodeRabbit adoption pitfalls including noisy reviews and team resistance","Before organization-wide rollout or when experiencing adoption friction","CodeRabbit configuration, team communication channels, review guidelines","Pitfall prevention checklist completed, team alignment documented, gradual rollout plan in place","Higher team satisfaction with CodeRabbit, 85%+ positive sentiment in developer surveys","Successful CodeRabbit adoption without common anti-patterns","true",Onboarding,coderabbit-known-pitfalls,"Read, Write, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-github-integration,"DevOps engineers, repository administrators","Configure deep GitHub integration including PR triggers, status checks, and branch protection","When setting up CodeRabbit as required check in GitHub workflow","GitHub repository settings, branch protection rules, CodeRabbit dashboard","CodeRabbit configured as required status check, blocking merge on critical issues, PR template updated","Enforced code quality gates, 100% PR coverage for protected branches","Seamless GitHub workflow integration with mandatory AI review","true",Operations,coderabbit-github-integration,"Read, Write, Edit, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-review-config,"Team leads, senior developers, platform engineers","Customize CodeRabbit review settings including severity levels, file patterns, and review focus areas","When default reviews are too noisy or missing domain-specific issues","CodeRabbit configuration files, .coderabbit.yaml, dashboard settings","Custom rules deployed, false positive rate below 5%, domain-specific issues detected","Review comments directly actionable by team, reduced noise by 60%","Tailored AI reviews matching team coding standards and priorities","true",Operations,coderabbit-review-config,"Read, Write, Edit, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-custom-rules,"Senior engineers, security teams, architecture leads","Create custom CodeRabbit rules for organization-specific patterns and anti-patterns","When standard rules miss domain-specific issues or allow known bad patterns","CodeRabbit rule configuration, custom rule YAML, test PRs for validation","Custom rules trigger on test cases, zero false negatives on known bad patterns, documentation complete","Organization-specific knowledge captured in automated rules, reduced onboarding time for new developers","Codify team expertise into automated review checks","true",Operations,coderabbit-custom-rules,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-comment-resolution,"Developers, code reviewers, team leads","Efficiently resolve CodeRabbit comments including accepting, dismissing, and responding to AI feedback","During PR review workflow when triaging CodeRabbit suggestions","GitHub/GitLab PR comment interface, CodeRabbit feedback threads","90% of comments resolved within 24 hours, clear resolution reasons documented, pattern feedback submitted","Faster PR merge velocity, continuous improvement of AI review accuracy","Streamlined comment resolution workflow with feedback loop","true",Operations,coderabbit-comment-resolution,"Read, Write, Bash",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coderabbit-security-scanning,"Security engineers, DevSecOps teams, compliance officers","Configure CodeRabbit security scanning for vulnerability detection in code changes","When implementing security-first development practices or meeting compliance requirements","CodeRabbit security settings, SAST integration, secret detection configuration","Security issues detected pre-merge, CVE database integration active, secrets blocked from commits","Reduced security vulnerabilities in production by 80%, compliance audit requirements met","Automated security review integrated into development workflow","true",Operations,coderabbit-security-scanning,"Read, Write, Edit, Bash, Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
