id,plugin_path,field_name,raw_value
1,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,name,discovery-questionnaire
2,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,version,1.0.0
3,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,description,Generate custom discovery questionnaires for AI agency prospects
4,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
5,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
6,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,license,MIT
7,plugins/ai-agency/discovery-questionnaire/.claude-plugin/plugin.json,keywords,"[""discovery"", ""questionnaire"", ""client"", ""sales"", ""agency"", ""ai-agency""]"
8,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,name,make-scenario-builder
9,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,version,1.0.0
10,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,description,Create Make.com (Integromat) scenarios with AI assistance - visual automation design
11,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,author,"{""name"": ""Claude Code Plugin Hub"", ""url"": ""https://github.com/jeremylongshore/claude-code-plugins""}"
12,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,repository,https://github.com/jeremylongshore/claude-code-plugins
13,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,license,MIT
14,plugins/ai-agency/make-scenario-builder/.claude-plugin/plugin.json,keywords,"[""make"", ""integromat"", ""automation"", ""scenarios"", ""workflow"", ""ai-agency"", ""visual""]"
15,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,name,n8n-workflow-designer
16,plugins/ai-agency/n8n-workflow-designer/.claude-plugin/plugin.json,version,1.0.0
