Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
juicebox-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Juicebox SDK/CLI authentication,"juicebox install auth, install and configure juicebox sdk/cli authentication",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox install auth in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Juicebox example,"juicebox hello world, create a minimal working juicebox example",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox hello world in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Juicebox local development workflow,"juicebox local dev loop, configure juicebox local development workflow",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Juicebox SDK patterns,"juicebox sdk patterns, apply production-ready juicebox sdk patterns",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Juicebox primary workflow,"juicebox primary workflow, execute juicebox primary workflow",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Juicebox core feature integration,"juicebox core feature, implement juicebox core feature integration",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox core feature in under 15 minutes,true,onboarding,plugins/saas-packs/juicebox-pack/skills/juicebox-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Juicebox common errors,"juicebox common errors, diagnose and fix juicebox common errors",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox common errors in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Juicebox debug evidence for support,"juicebox debug bundle, collect juicebox debug evidence for support",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox debug bundle in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Juicebox rate limiting and backoff,"juicebox rate limits, implement juicebox rate limiting and backoff",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox rate limits in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Juicebox security best practices,"juicebox security basics, apply juicebox security best practices",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox security basics in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Juicebox production deployment checklist,"juicebox prod checklist, execute juicebox production deployment checklist",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox prod checklist in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Juicebox SDK upgrades,"juicebox upgrade migration, plan and execute juicebox sdk upgrades",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/juicebox-pack/skills/juicebox-upgrade-migration/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Juicebox CI/CD integration,"juicebox ci integration, configure juicebox ci/cd integration",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox ci integration in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-ci-integration/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Juicebox integrations to production,"juicebox deploy pipeline, deploy juicebox integrations to production",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-deploy-pipeline/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Juicebox webhook handling,"juicebox webhooks events, implement juicebox webhook handling",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-webhooks-events/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Juicebox API performance,"juicebox performance tuning, optimize juicebox api performance",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-performance-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Juicebox costs and usage,"juicebox cost tuning, optimize juicebox costs and usage",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-cost-tuning/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Juicebox reference architecture,"juicebox reference architecture, implement juicebox reference architecture",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/juicebox-pack/skills/juicebox-reference-architecture/,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-multi-env-setup,"Backend developers, DevOps engineers, Full-stack developers",Configure Juicebox multi-environment setup,"juicebox multi env setup, configure juicebox multi-environment setup",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox multi env setup in under 15 minutes,true,enterprise,plugins/saas-packs/juicebox-pack/skills/juicebox-multi-env-setup/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
juicebox-observability,"Backend developers, DevOps engineers, Full-stack developers",Set up Juicebox monitoring and observability,"juicebox observability, set up juicebox monitoring and observability",Claude Code skill; Juicebox SDK; local/cloud development,Working Juicebox integration; Tests passing; Documentation updated,Faster Juicebox integration; Reduced errors; Team productivity,Complete Juicebox observability in under 15 minutes,true,enterprise,plugins/saas-packs/juicebox-pack/skills/juicebox-observability/,"Read, Write, Edit, Bash(kubectl:*), Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
