repo,skill_id,name,description,version,path,classification,category,has_frontmatter,body_length,keep,notes
CCPI,auditing-access-control,Auditing Access Control,This skill enables Claude to audit access control implementations in various systems. It uses the access-control-auditor plugin to identify potential vulnerabilities and misconfigurations related to a,,backups/plugin-enhancements/plugin-backups/access-control-auditor_20251019_122343/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2577,,
CCPI,auditing-access-control,Auditing Access Control,This skill enables Claude to audit access control implementations in various systems. It uses the access-control-auditor plugin to identify potential vulnerabilities and misconfigurations related to a,,backups/plugin-enhancements/plugin-backups/access-control-auditor_20251019_132521/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2577,,
CCPI,auditing-access-control,Auditing Access Control,This skill enables Claude to audit access control implementations in various systems. It uses the access-control-auditor plugin to identify potential vulnerabilities and misconfigurations related to a,,backups/plugin-enhancements/plugin-backups/access-control-auditor_20251019_234232/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2577,,
CCPI,scanning-for-accessibility-issues,Scanning for Accessibility Issues,"This skill enables Claude to perform comprehensive accessibility audits. It uses the accessibility-test-scanner plugin to identify WCAG 2.1/2.2 compliance issues, validate ARIA attributes, check keybo",,backups/plugin-enhancements/plugin-backups/accessibility-test-scanner_20251019_150952/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2110,,
CCPI,scanning-for-accessibility-issues,Scanning for Accessibility Issues,"This skill enables Claude to perform comprehensive accessibility audits. It uses the accessibility-test-scanner plugin to identify WCAG 2.1/2.2 compliance issues, validate ARIA attributes, check keybo",,backups/plugin-enhancements/plugin-backups/accessibility-test-scanner_20251020_003753/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2110,,
CCPI,validating-ai-ethics-and-fairness,Validating AI Ethics and Fairness,"This skill enables Claude to validate the ethical implications and fairness of AI/ML models and datasets. It is triggered when the user requests an ethics review, fairness assessment, or bias detectio",,backups/plugin-enhancements/plugin-backups/ai-ethics-validator_20251019_182858/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2410,,
CCPI,validating-ai-ethics-and-fairness,Validating AI Ethics and Fairness,"This skill enables Claude to validate the ethical implications and fairness of AI/ML models and datasets. It is triggered when the user requests an ethics review, fairness assessment, or bias detectio",,backups/plugin-enhancements/plugin-backups/ai-ethics-validator_20251020_022321/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2410,,
CCPI,optimizing-prompts,Optimizing Prompts,"This skill optimizes prompts for Large Language Models (LLMs) to reduce token usage, lower costs, and improve performance. It analyzes the prompt, identifies areas for simplification and redundancy re",,backups/plugin-enhancements/plugin-backups/ai-ml-engineering-pack_20251019_161259/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2741,,
CCPI,optimizing-prompts,Optimizing Prompts,"This skill optimizes prompts for Large Language Models (LLMs) to reduce token usage, lower costs, and improve performance. It analyzes the prompt, identifies areas for simplification and redundancy re",,backups/plugin-enhancements/plugin-backups/ai-ml-engineering-pack_20251020_011030/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2741,,
CCPI,orchestrating-multi-agent-systems,Orchestrating Multi-Agent Systems,"This skill enables Claude to orchestrate multi-agent systems using the AI SDK v5. It allows Claude to set up agent handoffs, intelligent routing, and coordinated workflows across different AI provider",,backups/plugin-enhancements/plugin-backups/ai-sdk-agents_20251019_193634/skills/skill-adapter/SKILL.md,BACKUP,,Yes,2702,,
