Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
customerio-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Customer.io SDK/CLI authentication,"customerio install auth, install and configure customer.io sdk/cli authentication",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io install auth in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Customer.io example,"customerio hello world, create a minimal working customer.io example",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io hello world in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Customer.io local development workflow,"customerio local dev loop, configure customer.io local development workflow",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Customer.io SDK patterns,"customerio sdk patterns, apply production-ready customer.io sdk patterns",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Customer.io primary workflow,"customerio primary workflow, execute customer.io primary workflow",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Customer.io core feature integration,"customerio core feature, implement customer.io core feature integration",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io core feature in under 15 minutes,true,onboarding,plugins/saas-packs/customerio-pack/skills/customerio-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Customer.io common errors,"customerio common errors, diagnose and fix customer.io common errors",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io common errors in under 15 minutes,true,operations,plugins/saas-packs/customerio-pack/skills/customerio-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Customer.io debug evidence for support,"customerio debug bundle, collect customer.io debug evidence for support",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io debug bundle in under 15 minutes,true,operations,plugins/saas-packs/customerio-pack/skills/customerio-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Customer.io rate limiting and backoff,"customerio rate limits, implement customer.io rate limiting and backoff",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io rate limits in under 15 minutes,true,operations,plugins/saas-packs/customerio-pack/skills/customerio-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Customer.io security best practices,"customerio security basics, apply customer.io security best practices",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io security basics in under 15 minutes,true,operations,plugins/saas-packs/customerio-pack/skills/customerio-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
customerio-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Customer.io production deployment checklist,"customerio prod checklist, execute customer.io production deployment checklist",Claude Code skill; Customer.io SDK; local/cloud development,Working Customer.io integration; Tests passing; Documentation updated,Faster Customer.io integration; Reduced errors; Team productivity,Complete Customer.io prod checklist in under 15 minutes,true,operations,plugins/saas-packs/customerio-pack/skills/customerio-prod-checklist/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
