Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
clickup-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure ClickUp SDK/CLI authentication,"clickup install auth, install and configure clickup sdk/cli authentication",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp install auth in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working ClickUp example,"clickup hello world, create a minimal working clickup example",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp hello world in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure ClickUp local development workflow,"clickup local dev loop, configure clickup local development workflow",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready ClickUp SDK patterns,"clickup sdk patterns, apply production-ready clickup sdk patterns",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute ClickUp primary workflow,"clickup primary workflow, execute clickup primary workflow",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement ClickUp core feature integration,"clickup core feature, implement clickup core feature integration",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp core feature in under 15 minutes,true,onboarding,plugins/saas-packs/clickup-pack/skills/clickup-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix ClickUp common errors,"clickup common errors, diagnose and fix clickup common errors",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp common errors in under 15 minutes,true,operations,plugins/saas-packs/clickup-pack/skills/clickup-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect ClickUp debug evidence for support,"clickup debug bundle, collect clickup debug evidence for support",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp debug bundle in under 15 minutes,true,operations,plugins/saas-packs/clickup-pack/skills/clickup-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement ClickUp rate limiting and backoff,"clickup rate limits, implement clickup rate limiting and backoff",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp rate limits in under 15 minutes,true,operations,plugins/saas-packs/clickup-pack/skills/clickup-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
clickup-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply ClickUp security best practices,"clickup security basics, apply clickup security best practices",Claude Code skill; ClickUp SDK; local/cloud development,Working ClickUp integration; Tests passing; Documentation updated,Faster ClickUp integration; Reduced errors; Team productivity,Complete ClickUp security basics in under 15 minutes,true,operations,plugins/saas-packs/clickup-pack/skills/clickup-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
