Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
coreweave-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure CoreWeave SDK/CLI authentication,"coreweave install auth, install and configure coreweave sdk/cli authentication",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave install auth in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working CoreWeave example,"coreweave hello world, create a minimal working coreweave example",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave hello world in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure CoreWeave local development workflow,"coreweave local dev loop, configure coreweave local development workflow",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready CoreWeave SDK patterns,"coreweave sdk patterns, apply production-ready coreweave sdk patterns",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute CoreWeave primary workflow,"coreweave primary workflow, execute coreweave primary workflow",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement CoreWeave core feature integration,"coreweave core feature, implement coreweave core feature integration",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave core feature in under 15 minutes,true,onboarding,plugins/saas-packs/coreweave-pack/skills/coreweave-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix CoreWeave common errors,"coreweave common errors, diagnose and fix coreweave common errors",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave common errors in under 15 minutes,true,operations,plugins/saas-packs/coreweave-pack/skills/coreweave-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect CoreWeave debug evidence for support,"coreweave debug bundle, collect coreweave debug evidence for support",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave debug bundle in under 15 minutes,true,operations,plugins/saas-packs/coreweave-pack/skills/coreweave-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement CoreWeave rate limiting and backoff,"coreweave rate limits, implement coreweave rate limiting and backoff",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave rate limits in under 15 minutes,true,operations,plugins/saas-packs/coreweave-pack/skills/coreweave-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
coreweave-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply CoreWeave security best practices,"coreweave security basics, apply coreweave security best practices",Claude Code skill; CoreWeave SDK; local/cloud development,Working CoreWeave integration; Tests passing; Documentation updated,Faster CoreWeave integration; Reduced errors; Team productivity,Complete CoreWeave security basics in under 15 minutes,true,operations,plugins/saas-packs/coreweave-pack/skills/coreweave-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
