id,path,extension,line_count,size_bytes,inferred_purpose
1,.dockerignore,(none),61,542,unknown
2,.firebaserc,(none),24,449,unknown
3,.gist-id,(none),1,33,unknown
4,.gitignore,(none),114,1764,git ignore rules
5,.mcp.json,.json,18,557,JSON configuration
6,.npmignore,(none),45,578,unknown
7,.nvmrc,(none),1,3,unknown
8,AGENTS.md,.md,176,5307,Claude Code agent definitions
9,CHANGELOG.md,.md,426,18596,changelog
10,CLAUDE.md,.md,275,13232,Claude Code project instructions
11,CONTRIBUTING.md,.md,112,4859,documentation
12,Dockerfile.test,.test,94,2631,unknown
13,LICENSE,(none),58,1940,license file
14,README.md,.md,368,21865,repository README
15,SECURITY.md,.md,82,3078,documentation
16,VERSION,(none),1,7,unknown
17,asset_generation.log,.log,3034,211908,unknown
18,asset_generation_old.log,.log,1603,65763,unknown
19,config.zcf.json,.json,37,1187,JSON configuration
20,create-tasks.sh,.sh,51,4727,shell script
21,docker-compose.test.yml,.yml,84,2290,YAML configuration
22,firebase.json,.json,82,1937,JSON configuration
23,firestore.rules,.rules,9,191,unknown
24,package.json,.json,39,1220,npm/pnpm workspace root manifest
25,pnpm-lock.yaml,.yaml,9464,303386,pnpm lockfile
26,pnpm-workspace.yaml,.yaml,7,166,pnpm workspace configuration
27,setup.sh,.sh,74,2438,shell script
28,sources.yaml,.yaml,706,18345,external plugin sync sources
29,test_youtube_strategy.py,.py,185,7967,Python script
30, ,(none),84,5821,unknown
