Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
flyio-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Fly.io SDK/CLI authentication,"flyio install auth, install and configure fly.io sdk/cli authentication",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io install auth in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Fly.io example,"flyio hello world, create a minimal working fly.io example",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io hello world in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Fly.io local development workflow,"flyio local dev loop, configure fly.io local development workflow",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Fly.io SDK patterns,"flyio sdk patterns, apply production-ready fly.io sdk patterns",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Fly.io primary workflow,"flyio primary workflow, execute fly.io primary workflow",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Fly.io core feature integration,"flyio core feature, implement fly.io core feature integration",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io core feature in under 15 minutes,true,onboarding,plugins/saas-packs/flyio-pack/skills/flyio-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Fly.io common errors,"flyio common errors, diagnose and fix fly.io common errors",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io common errors in under 15 minutes,true,operations,plugins/saas-packs/flyio-pack/skills/flyio-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Fly.io debug evidence for support,"flyio debug bundle, collect fly.io debug evidence for support",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io debug bundle in under 15 minutes,true,operations,plugins/saas-packs/flyio-pack/skills/flyio-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Fly.io rate limiting and backoff,"flyio rate limits, implement fly.io rate limiting and backoff",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io rate limits in under 15 minutes,true,operations,plugins/saas-packs/flyio-pack/skills/flyio-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
flyio-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Fly.io security best practices,"flyio security basics, apply fly.io security best practices",Claude Code skill; Fly.io SDK; local/cloud development,Working Fly.io integration; Tests passing; Documentation updated,Faster Fly.io integration; Reduced errors; Team productivity,Complete Fly.io security basics in under 15 minutes,true,operations,plugins/saas-packs/flyio-pack/skills/flyio-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
