Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
obsidian-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Obsidian SDK/CLI authentication,"obsidian install auth, install and configure obsidian sdk/cli authentication",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian install auth in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Obsidian example,"obsidian hello world, create a minimal working obsidian example",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian hello world in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Obsidian local development workflow,"obsidian local dev loop, configure obsidian local development workflow",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Obsidian SDK patterns,"obsidian sdk patterns, apply production-ready obsidian sdk patterns",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Obsidian primary workflow,"obsidian primary workflow, execute obsidian primary workflow",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Obsidian core feature integration,"obsidian core feature, implement obsidian core feature integration",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian core feature in under 15 minutes,true,onboarding,plugins/saas-packs/obsidian-pack/skills/obsidian-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Obsidian common errors,"obsidian common errors, diagnose and fix obsidian common errors",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian common errors in under 15 minutes,true,operations,plugins/saas-packs/obsidian-pack/skills/obsidian-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Obsidian debug evidence for support,"obsidian debug bundle, collect obsidian debug evidence for support",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian debug bundle in under 15 minutes,true,operations,plugins/saas-packs/obsidian-pack/skills/obsidian-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Obsidian rate limiting and backoff,"obsidian rate limits, implement obsidian rate limiting and backoff",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian rate limits in under 15 minutes,true,operations,plugins/saas-packs/obsidian-pack/skills/obsidian-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
obsidian-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Obsidian security best practices,"obsidian security basics, apply obsidian security best practices",Claude Code skill; Obsidian SDK; local/cloud development,Working Obsidian integration; Tests passing; Documentation updated,Faster Obsidian integration; Reduced errors; Team productivity,Complete Obsidian security basics in under 15 minutes,true,operations,plugins/saas-packs/obsidian-pack/skills/obsidian-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
