Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
intercom-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Intercom SDK/CLI authentication,"intercom install auth, install and configure intercom sdk/cli authentication",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom install auth in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-install-auth/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Intercom example,"intercom hello world, create a minimal working intercom example",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom hello world in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-hello-world/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Intercom local development workflow,"intercom local dev loop, configure intercom local development workflow",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-local-dev-loop/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Intercom SDK patterns,"intercom sdk patterns, apply production-ready intercom sdk patterns",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-sdk-patterns/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Intercom primary workflow,"intercom primary workflow, execute intercom primary workflow",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-primary-workflow/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Intercom core feature integration,"intercom core feature, implement intercom core feature integration",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom core feature in under 15 minutes,true,onboarding,plugins/saas-packs/intercom-pack/skills/intercom-core-feature/,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Intercom common errors,"intercom common errors, diagnose and fix intercom common errors",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom common errors in under 15 minutes,true,operations,plugins/saas-packs/intercom-pack/skills/intercom-common-errors/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Intercom debug evidence for support,"intercom debug bundle, collect intercom debug evidence for support",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom debug bundle in under 15 minutes,true,operations,plugins/saas-packs/intercom-pack/skills/intercom-debug-bundle/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Intercom rate limiting and backoff,"intercom rate limits, implement intercom rate limiting and backoff",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom rate limits in under 15 minutes,true,operations,plugins/saas-packs/intercom-pack/skills/intercom-rate-limits/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
intercom-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Intercom security best practices,"intercom security basics, apply intercom security best practices",Claude Code skill; Intercom SDK; local/cloud development,Working Intercom integration; Tests passing; Documentation updated,Faster Intercom integration; Reduced errors; Team productivity,Complete Intercom security basics in under 15 minutes,true,operations,plugins/saas-packs/intercom-pack/skills/intercom-security-basics/,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Jeremy Longshore <jeremy@intentsolutions.io>
